timestamps,ax,ay,az,mag
572834,0.85,-0.17,-0.27,9.10
572856,0.94,0.24,-0.25,10.05
572878,0.95,0.48,-0.21,10.84
572900,0.89,0.48,-0.11,10.16
572922,0.90,0.05,-0.03,9.05
572944,0.95,-0.10,0.06,9.55
572966,0.95,-0.11,0.10,9.58
572988,0.90,0.06,-0.03,9.03
573010,0.92,0.13,-0.08,9.32
573032,0.88,0.04,-0.15,8.91
573054,0.89,0.02,-0.16,9.02
573076,0.89,0.06,-0.16,9.04
573098,0.87,0.02,-0.16,8.88
573120,0.87,-0.04,-0.13,8.83
573142,0.88,0.00,-0.11,8.87
573164,0.87,0.07,-0.12,8.86
573186,0.88,0.07,-0.11,8.87
573208,0.88,0.03,-0.07,8.87
573230,0.89,0.04,-0.04,8.89
573252,0.90,0.05,0.02,9.04
573274,0.90,0.08,0.01,9.03
573296,0.89,0.07,0.01,8.89
573318,0.91,0.03,0.02,9.08
573340,0.89,-0.01,0.03,8.89
573362,0.87,-0.03,-0.00,8.69
573384,0.85,-0.04,-0.06,8.57
573406,0.87,-0.02,-0.09,8.72
573428,0.85,0.03,-0.09,8.52
573450,0.86,0.04,-0.07,8.63
573472,0.84,0.03,-0.05,8.42
573494,0.86,0.04,0.01,8.57
573516,0.89,0.09,0.08,8.95
573538,0.87,0.05,0.09,8.76
573560,0.87,0.00,0.11,8.81
573582,0.87,-0.00,0.08,8.73
573604,0.90,-0.01,0.00,9.03
573626,0.94,-0.07,-0.06,9.43
573648,0.96,-0.05,-0.11,9.72
573670,1.00,-0.00,-0.06,10.06
573692,1.13,-0.01,0.06,11.28
573714,1.18,0.11,0.14,11.92
573736,1.13,0.39,0.16,12.03
573758,1.09,0.56,0.10,12.28
573780,1.02,0.29,-0.06,10.62
573802,0.84,0.02,-0.34,9.08
573824,0.71,-0.05,-0.49,8.67
573846,0.84,-0.04,-0.37,9.19
573868,0.91,-0.16,-0.23,9.47
573890,0.83,-0.18,0.07,8.56
573912,0.78,-0.04,0.64,10.12
573934,1.00,0.40,0.53,11.96
573956,0.91,0.76,0.26,12.11
573978,0.71,0.65,0.16,9.73
574000,0.76,0.12,0.22,7.99
574022,0.89,-0.18,0.32,9.63
574044,0.94,-0.39,0.34,10.76
574066,0.98,-0.47,0.40,11.57
574088,0.93,-0.15,0.38,10.20
574110,1.00,0.13,0.27,10.41
574132,1.05,0.35,0.14,11.15
574154,0.84,0.51,-0.10,9.84
574176,0.80,0.24,-0.17,8.49
574198,0.70,0.04,-0.14,7.18
574220,0.67,-0.11,-0.30,7.41
574242,0.62,-0.13,-0.04,6.32
574264,0.38,-0.04,0.31,4.92
574286,0.31,0.09,0.61,6.87
574308,0.30,0.29,0.87,9.62
574330,1.84,-0.49,-0.35,19.36
574352,1.07,-0.20,0.55,12.18
574374,0.50,0.91,0.04,10.39
574396,0.39,2.00,0.66,21.40
574418,0.95,1.05,0.37,14.63
574440,0.76,-0.22,1.08,13.40
574462,1.37,-1.31,0.03,18.92
574484,0.77,-0.32,-0.03,8.35
574506,0.93,-0.19,-0.18,9.63
574528,0.93,-0.02,-0.39,10.10
574550,0.82,0.04,-0.21,8.46
574572,0.88,-0.05,-0.09,8.91
574594,0.89,-0.27,-0.06,9.32
574616,0.85,-0.02,-0.01,8.47
574638,0.94,0.17,-0.01,9.57
574660,1.02,0.24,0.01,10.50
574682,0.90,-0.03,-0.12,9.05
574704,0.95,-0.00,-0.15,9.60
574726,0.92,-0.02,-0.14,9.29
574748,0.88,-0.08,-0.06,8.89
574770,0.89,-0.00,-0.08,8.95
574792,1.06,0.01,-0.17,10.75
574814,1.25,-0.22,-0.21,12.90
574836,1.03,-0.13,-0.25,10.68
574858,1.09,0.33,-0.17,11.48
574880,1.30,0.58,-0.36,14.74
574902,0.97,0.08,-0.62,11.56
574924,0.73,-0.29,-0.59,9.84
574946,1.04,-0.56,0.29,12.17
574968,1.36,-0.69,0.76,17.06
574990,1.01,-0.16,0.52,11.49
575012,0.90,0.21,0.34,9.80
575034,0.85,0.67,0.06,10.84
575056,0.76,0.74,0.13,10.71
575078,0.78,0.41,0.42,9.82
575100,0.85,0.08,0.50,9.93
575122,0.85,0.10,0.55,10.20
575144,0.80,0.41,0.47,10.15
575166,0.83,0.34,0.35,9.61
575188,0.86,0.07,0.28,9.07
575210,0.78,0.04,0.21,8.12
575232,0.79,-0.11,0.15,8.12
575254,0.65,-0.20,0.22,7.13
575276,0.31,-0.33,-0.09,4.66
575298,-0.19,-0.13,-0.11,2.54
575320,0.24,0.15,0.61,6.69
575342,0.39,0.75,1.49,17.13
575364,1.87,-0.10,-1.08,21.67
575386,0.67,0.00,0.06,6.70
575408,0.12,0.46,0.02,4.75
575430,0.64,1.29,0.20,14.52
575452,1.12,0.86,0.46,14.85
575474,1.07,-0.03,0.85,13.63
575496,1.02,-0.58,0.21,11.91
575518,0.68,-0.57,0.06,8.89
575540,0.92,-0.10,0.15,9.36
575562,1.07,0.18,0.09,10.84
575584,0.82,0.50,-0.30,10.06
575606,0.84,0.06,-0.25,8.79
575628,0.86,0.27,-0.21,9.23
575650,0.86,0.24,-0.26,9.26
575672,0.88,-0.01,-0.07,8.87
575694,0.99,0.10,0.00,9.96
575716,0.91,0.08,-0.02,9.16
575738,0.91,0.05,-0.10,9.12
