timestamps,ax,ay,az,mag
706572,0.87,-0.27,-0.36,9.80
706594,0.70,-0.25,-0.23,7.78
706616,0.63,0.08,-0.12,6.43
706638,0.66,0.24,-0.20,7.30
706660,1.81,0.65,-0.88,21.19
706682,1.87,-0.78,0.25,20.47
706704,0.65,-1.05,0.22,12.58
706726,0.18,-0.80,0.69,10.70
706748,0.65,0.30,0.31,7.84
706770,0.83,0.48,0.57,11.20
706792,1.01,0.46,-0.04,11.15
706814,0.88,-0.04,-0.12,8.90
706836,0.76,0.05,0.06,7.66
706858,0.72,0.19,0.11,7.52
706880,0.81,0.15,0.10,8.30
706902,0.84,0.09,0.10,8.53
706924,0.83,0.05,0.16,8.41
706946,0.82,0.06,0.14,8.36
706968,0.78,0.17,0.20,8.26
706990,0.75,0.24,0.18,8.12
707012,0.75,0.19,0.18,7.94
707034,0.74,0.09,0.18,7.63
707056,0.75,0.11,0.21,7.89
707078,0.77,0.05,0.18,7.94
707100,0.74,0.05,0.14,7.53
707122,0.76,0.17,0.19,8.04
707144,0.75,0.21,0.19,8.05
707166,0.72,0.15,0.20,7.63
707188,0.79,0.10,0.21,8.20
707210,0.76,0.07,0.20,7.90
707232,0.72,0.05,0.21,7.51
707254,0.74,-0.07,0.14,7.60
707276,0.93,-0.24,-0.03,9.61
707298,0.89,-0.02,-0.29,9.37
707320,1.56,0.98,0.03,18.43
707342,1.71,0.59,-0.14,18.16
707364,1.62,-0.20,0.10,16.39
707386,1.45,-0.65,0.27,16.13
707408,0.96,-0.52,-0.06,10.92
707430,0.85,-0.11,0.59,10.39
707452,1.11,0.55,0.51,13.44
707474,1.11,0.92,0.74,16.21
707496,0.95,0.81,0.82,14.94
707518,0.77,0.17,0.90,11.95
707540,0.56,-0.02,0.90,10.63
707562,0.38,0.15,0.83,9.25
707584,0.29,0.20,0.79,8.66
707606,0.16,0.09,0.83,8.50
707628,0.04,-0.07,0.75,7.53
707650,-0.06,-0.15,0.76,7.80
707672,-0.16,-0.15,0.82,8.48
707694,-0.05,0.20,0.74,7.68
707716,-0.04,0.38,0.46,5.99
707738,0.89,-0.11,0.23,9.25
707760,0.95,-0.85,-0.11,12.81
707782,0.35,-0.39,-0.68,8.57
707804,0.64,0.22,-0.85,10.88
707826,1.87,0.59,-1.36,23.90
707848,1.77,-1.10,0.05,20.89
707870,0.08,-1.14,-0.29,11.83
707892,0.24,-0.21,1.71,17.40
707914,0.12,0.87,1.42,16.67
