timestamps,ax,ay,az,mag
391620,0.92,0.38,0.09,9.95
391642,0.82,0.32,-0.05,8.80
391664,0.84,-0.09,0.09,8.45
391686,0.88,-0.31,0.23,9.65
391708,0.80,-0.23,0.18,8.56
391730,0.89,-0.12,0.08,8.99
391752,0.89,-0.11,0.12,9.05
391774,0.79,-0.17,0.05,8.14
391796,0.81,-0.23,-0.13,8.56
391818,0.80,-0.31,-0.20,8.82
391840,0.81,-0.32,-0.36,9.43
391862,0.83,-0.33,-0.42,9.88
391884,1.49,-0.48,-0.43,16.26
391906,1.70,-0.77,-0.16,18.69
391928,0.71,-0.56,-0.05,9.07
391950,0.68,-0.18,0.51,8.68
391972,1.04,-0.13,0.45,11.44
391994,0.93,-0.09,0.35,9.97
392016,0.80,0.03,0.31,8.56
392038,0.69,0.11,0.36,7.84
392060,0.82,-0.21,0.48,9.69
392082,0.74,-0.46,0.42,9.71
392104,0.66,-0.20,0.35,7.75
392126,0.61,0.05,0.44,7.53
392148,0.47,0.14,0.52,7.17
392170,0.21,0.13,0.36,4.36
392192,0.17,-0.23,0.34,4.44
392214,0.23,-0.20,0.47,5.64
392236,1.68,-0.07,-0.26,16.98
392258,1.87,-0.06,-0.34,19.06
392280,0.44,-0.32,0.39,6.72
392302,0.29,-0.16,0.10,3.43
392324,1.34,-0.32,0.09,13.79
392346,0.86,-0.31,0.20,9.32
392368,0.63,-0.11,0.10,6.51
392390,0.94,0.07,0.12,9.52
392412,1.04,-0.03,0.12,10.52
392434,0.78,-0.09,0.10,7.94
392456,0.81,-0.11,0.16,8.30
392478,0.88,-0.23,0.11,9.14
392500,0.84,-0.25,0.04,8.75
392522,0.83,-0.13,0.02,8.39
392544,0.86,-0.12,-0.02,8.65
392566,0.85,-0.15,-0.02,8.63
392588,0.82,-0.18,0.01,8.40
392610,0.83,-0.19,-0.00,8.50
392632,0.83,-0.18,-0.02,8.53
392654,0.83,-0.20,0.01,8.56
392676,0.89,-0.21,-0.00,9.12
392698,1.24,-0.29,-0.04,12.72
392720,1.12,-0.55,-0.08,12.46
392742,0.91,-0.64,-0.23,11.35
392764,0.98,-0.45,0.03,10.82
392786,0.84,-0.11,0.34,9.10
392808,0.70,0.15,0.43,8.36
392830,0.76,0.06,0.26,8.08
392852,0.85,-0.27,0.27,9.35
392874,0.88,-0.14,0.30,9.39
392896,0.87,0.21,0.31,9.46
392918,0.89,0.17,0.31,9.58
392940,0.83,-0.27,0.29,9.18
392962,0.77,-0.50,0.20,9.42
392984,0.75,-0.20,0.19,7.96
393006,0.76,-0.01,0.29,8.16
393028,0.66,-0.03,0.30,7.30
