timestamps,ax,ay,az,mag
487650,0.82,-0.37,0.01,8.99
487672,0.77,-0.36,-0.03,8.51
487694,0.76,-0.35,-0.05,8.41
487716,0.81,-0.32,-0.06,8.69
487738,0.83,-0.28,-0.05,8.75
487760,0.84,-0.22,-0.09,8.74
487782,0.86,-0.17,-0.18,8.94
487804,0.68,-0.09,-0.16,7.06
487826,0.65,-0.18,-0.13,6.91
487848,0.58,-0.21,-0.01,6.14
487870,0.40,-0.04,-0.00,4.06
487892,0.55,0.06,0.08,5.62
487914,1.46,-0.17,-1.00,17.76
487936,1.74,-0.15,-0.25,17.63
487958,0.33,-0.09,0.23,4.13
487980,0.27,-0.39,0.28,5.49
488002,0.98,-0.64,0.57,12.99
488024,1.17,-0.37,0.59,13.60
488046,0.65,-0.18,0.11,6.82
488068,0.81,-0.11,0.15,8.35
488090,0.99,-0.08,0.08,10.00
488112,0.83,-0.12,-0.06,8.38
488134,0.84,-0.13,-0.01,8.53
488156,0.87,-0.19,0.10,8.97
488178,0.84,-0.31,0.05,8.97
488200,0.87,-0.15,0.03,8.80
488222,0.85,-0.05,-0.00,8.56
488244,0.87,-0.16,-0.01,8.82
488266,0.79,-0.15,0.01,8.10
488288,0.82,-0.16,0.02,8.37
488310,0.85,-0.14,-0.01,8.64
488332,0.85,-0.10,0.04,8.58
488354,0.84,-0.20,0.05,8.61
488376,0.83,-0.22,0.05,8.58
488398,0.84,-0.11,0.09,8.49
488420,0.89,-0.19,0.09,9.19
488442,0.91,-0.28,0.08,9.59
488464,0.83,-0.18,0.10,8.55
488486,0.87,-0.15,0.12,8.92
488508,0.92,-0.13,0.12,9.32
488530,0.88,-0.27,0.04,9.26
488552,0.87,-0.37,-0.05,9.41
488574,1.16,-0.50,-0.10,12.68
488596,1.36,-0.67,-0.45,15.79
488618,1.29,-0.69,-0.54,15.65
488640,1.26,-0.40,-0.44,13.91
488662,1.18,0.05,0.43,12.60
488684,0.94,0.36,1.36,16.91
488706,1.43,0.26,0.48,15.30
488728,0.87,-0.14,0.76,11.64
488750,0.45,-0.43,0.74,9.66
488772,0.20,-0.46,0.67,8.38
488794,0.10,-0.33,0.65,7.40
488816,0.45,-0.15,0.68,8.27
488838,0.52,0.04,0.67,8.50
488860,0.33,-0.09,0.61,7.00
488882,0.27,-0.64,0.68,9.70
488904,0.23,-0.79,0.64,10.40
488926,0.41,-0.11,0.66,7.84
488948,0.64,-0.01,0.57,8.60
488970,0.79,0.14,0.44,9.14
488992,0.86,0.11,0.30,9.13
489014,0.67,-0.26,0.12,7.25
489036,0.38,-0.45,0.17,6.14
489058,0.36,-0.53,-0.33,7.19
489080,0.37,-0.28,-0.25,5.30
489102,0.75,-0.39,-0.06,8.49
489124,1.54,-0.83,0.06,17.47
489146,0.91,-0.23,0.10,9.45
489168,0.75,0.18,0.47,9.09
489190,0.84,0.24,0.61,10.63
489212,0.82,-0.17,0.43,9.44
489234,0.91,-0.42,0.15,10.15
489256,0.82,-0.26,0.00,8.64
489278,0.87,-0.20,0.02,8.94
489300,0.85,-0.13,0.13,8.73
489322,0.88,-0.16,0.09,9.03
489344,0.88,-0.23,0.03,9.10
489366,0.87,-0.13,0.03,8.82
489388,0.85,-0.09,-0.03,8.52
489410,0.84,-0.26,-0.07,8.82
489432,0.85,-0.18,-0.11,8.73
489454,0.85,-0.08,-0.09,8.57
489476,0.85,-0.08,-0.07,8.57
489498,0.80,-0.12,-0.04,8.14
489520,0.79,-0.25,-0.00,8.24
489542,0.87,-0.31,0.01,9.24
489564,0.85,-0.16,0.09,8.75
489586,0.86,-0.26,0.07,9.05
489608,0.86,-0.27,0.04,9.04
489630,0.88,-0.18,0.06,9.01
489652,0.87,-0.16,0.01,8.82
489674,0.87,-0.25,0.04,9.06
489696,0.96,-0.42,0.05,10.46
489718,1.39,-0.79,-0.13,16.06
489740,1.43,-1.07,-0.50,18.53
489762,1.16,-0.57,-0.55,14.05
489784,1.40,-0.09,0.03,14.04
489806,0.86,0.34,1.34,16.28
489828,1.62,0.59,0.56,18.18
489850,0.79,0.11,0.74,10.90
489872,0.52,-0.32,0.60,8.56
489894,0.28,-0.49,0.64,8.52
489916,0.12,-0.22,0.64,6.92
489938,0.44,0.07,0.57,7.24
489960,0.39,0.08,0.60,7.24
489982,0.40,-0.47,0.65,8.91
490004,0.31,-0.77,0.66,10.61
490026,0.38,-0.08,0.60,7.11
490048,0.50,0.08,0.55,7.51
490070,0.56,-0.13,0.60,8.31
490092,0.80,-0.29,0.52,9.98
490114,0.95,-0.14,0.33,10.13
490136,0.86,-0.10,0.09,8.73
490158,0.71,-0.31,-0.00,7.71
490180,0.45,-0.60,-0.05,7.51
490202,0.18,-0.85,-0.65,10.90
490224,0.12,-0.46,-0.59,7.58
490246,0.53,-0.07,0.00,5.39
490268,0.89,-0.04,0.23,9.18
490290,1.87,-0.57,0.25,19.75
490312,0.49,-0.12,-0.09,5.17
490334,0.53,0.11,0.25,5.97
490356,0.92,-0.02,0.85,12.48
490378,0.91,0.04,0.59,10.86
490400,0.81,0.09,0.35,8.85
490422,0.92,-0.31,0.13,9.80
490444,0.84,-0.58,0.19,10.34
490466,0.76,-0.23,0.24,8.33
490488,0.88,0.09,0.10,8.94
490510,0.96,0.10,0.04,9.66
490532,0.84,-0.29,0.12,8.99
490554,0.75,-0.40,-0.05,8.48
490576,0.84,-0.21,-0.05,8.68
490598,0.90,-0.04,-0.04,9.05
490620,0.90,0.04,-0.07,9.02
490642,0.86,-0.10,-0.07,8.67
490664,0.80,-0.24,-0.05,8.38
490686,0.77,-0.22,-0.06,8.00
490708,0.87,-0.13,0.07,8.84
490730,0.90,-0.09,0.09,9.07
490752,0.85,-0.20,0.09,8.75
490774,0.88,-0.29,0.10,9.29
490796,0.86,-0.15,0.08,8.77
490818,0.92,-0.22,0.04,9.43
490840,0.97,-0.48,-0.15,10.89
490862,1.25,-0.65,-0.46,14.80
490884,1.53,-0.79,-0.34,17.61
490906,1.67,-0.82,-0.63,19.70
490928,1.31,-0.23,0.28,13.62
490950,1.27,0.13,0.99,16.18
490972,1.49,0.19,0.90,17.57
490994,1.00,0.42,0.71,12.92
491016,0.36,0.22,1.17,12.40
491038,0.18,-0.23,0.84,8.92
491060,0.08,-0.51,0.64,8.28
491082,-0.11,-0.59,0.54,8.08
491104,0.11,-0.28,0.48,5.67
491126,0.14,-0.12,0.59,6.18
491148,0.10,-0.18,0.66,6.90
491170,0.37,-0.36,0.58,7.79
491192,0.37,-0.11,0.70,7.98
491214,0.39,-0.23,0.67,8.11
491236,0.76,-0.03,0.62,9.83
491258,0.76,0.19,0.60,9.91
491280,0.90,-0.01,0.40,9.86
491302,0.68,-0.55,0.05,8.76
491324,0.28,-1.01,-0.17,10.60
491346,0.13,-0.46,-0.48,6.73
491368,0.35,-0.04,-0.19,4.03
491390,0.98,-0.22,-0.32,10.60
491412,1.87,-0.39,0.26,19.34
491434,0.32,0.13,0.19,3.97
491456,-0.03,-0.19,-0.21,2.83
491478,1.04,-0.16,0.38,11.22
491500,1.48,0.09,0.82,16.93
491522,0.74,-0.13,0.11,7.60
491544,0.53,-0.56,-0.30,8.27
491566,0.76,-0.52,-0.03,9.23
491588,0.97,-0.12,0.22,10.03
491610,0.89,0.13,0.12,9.11
491632,0.89,0.17,-0.02,9.02
491654,0.82,-0.10,0.04,8.23
491676,0.80,-0.39,0.05,8.87
491698,0.75,-0.52,0.05,9.11
491720,0.82,-0.29,0.04,8.70
491742,0.84,-0.03,0.07,8.45
491764,0.83,-0.02,0.13,8.45
491786,0.83,-0.17,0.15,8.55
491808,0.81,-0.24,0.09,8.46
491830,0.81,-0.24,0.03,8.45
491852,0.89,-0.22,0.06,9.18
491874,0.91,-0.20,0.03,9.36
491896,0.86,-0.29,0.00,9.06
491918,0.83,-0.30,-0.01,8.82
491940,0.96,-0.37,-0.09,10.30
491962,1.16,-0.31,-0.34,12.44
491984,1.51,-0.48,-0.25,16.00
492006,1.52,-0.81,-0.54,18.05
492028,1.47,-0.58,-0.26,16.01
492050,1.03,-0.04,0.84,13.31
492072,1.04,0.19,1.20,15.95
492094,1.20,0.33,0.76,14.57
492116,0.51,0.24,1.07,12.11
492138,0.24,-0.21,0.64,7.20
492160,0.14,-0.40,0.59,7.26
492182,0.05,-0.49,0.51,7.09
492204,0.16,-0.33,0.48,6.06
492226,0.11,-0.24,0.56,6.15
492248,0.18,-0.35,0.49,6.30
492270,0.35,-0.38,0.61,7.96
492292,0.26,-0.21,0.76,8.30
492314,0.26,-0.43,0.62,7.98
492336,0.54,-0.43,0.63,9.29
492358,0.90,-0.17,0.52,10.52
492380,1.06,0.18,0.42,11.51
492402,1.02,0.33,-0.00,10.74
492424,0.62,0.20,-0.15,6.70
492446,0.20,-0.33,-0.25,4.57
492468,0.06,-1.25,-0.56,13.77
492490,0.80,-1.15,-0.90,16.70
492512,1.60,-0.56,0.46,17.54
492534,1.15,0.15,-0.01,11.57
492556,0.60,0.01,0.23,6.39
492578,0.62,-0.42,0.46,8.77
492600,0.71,-0.20,0.40,8.39
492622,1.02,0.30,0.08,10.63
492644,1.10,-0.03,-0.16,11.09
492666,0.73,-0.47,0.13,8.80
492688,0.87,0.04,0.12,8.75
492710,0.99,0.04,0.03,9.90
492732,0.85,-0.34,0.10,9.22
492754,0.79,-0.35,0.05,8.63
492776,0.86,-0.19,0.07,8.84
492798,0.88,-0.09,0.05,8.83
492820,0.85,-0.13,0.00,8.60
492842,0.89,-0.24,0.01,9.23
492864,0.87,-0.24,0.00,9.00
492886,0.85,-0.18,0.02,8.68
492908,0.86,-0.20,0.03,8.87
492930,0.87,-0.24,0.01,9.04
492952,0.85,-0.27,-0.01,8.90
492974,0.83,-0.26,0.05,8.73
492996,0.78,-0.23,0.10,8.19
493018,0.75,-0.24,0.13,7.96
493040,0.75,-0.23,0.16,8.01
493062,0.74,-0.18,0.18,7.77
493084,0.69,-0.10,0.19,7.24
493106,0.67,-0.20,0.24,7.43
493128,0.79,-0.23,0.32,8.83
493150,1.26,-0.07,0.46,13.41
493172,1.06,-0.18,0.40,11.46
493194,0.64,-0.41,0.29,8.12
493216,0.61,-0.43,0.41,8.48
493238,0.67,-0.32,0.52,9.12
493260,0.56,-0.18,0.62,8.55
493282,0.42,-0.06,0.60,7.40
493304,0.38,-0.06,0.53,6.61
493326,0.39,-0.24,0.51,6.90
493348,0.34,-0.42,0.49,7.29
