time,timestamp,ax,ay,az,mag,time2
17:52:27.111,4109,-0.89,0.53,0.05,10.36,363
17:52:27.123,4119,-0.89,0.53,0.04,10.32,364
17:52:27.130,4129,-0.89,0.52,0.04,10.32,365
17:52:27.140,4139,-0.89,0.52,0.04,10.34,366
17:52:27.150,4149,-0.89,0.52,0.03,10.30,367
17:52:27.163,4159,-0.89,0.52,0.03,10.33,368
17:52:27.177,4169,-0.89,0.53,0.03,10.36,369
17:52:27.180,4179,-0.90,0.52,0.03,10.38,370
17:52:27.191,4189,-0.89,0.53,0.03,10.35,371
17:52:27.201,4199,-0.89,0.52,0.03,10.31,372
17:52:27.211,4209,-0.88,0.53,0.04,10.32,373
17:52:27.227,4219,-0.90,0.53,0.04,10.41,374
17:52:27.230,4229,-0.90,0.53,0.04,10.42,375
17:52:27.240,4239,-0.89,0.52,0.04,10.37,376
17:52:27.250,4249,-0.89,0.53,0.04,10.38,377
17:52:27.263,4259,-0.89,0.53,0.04,10.31,378
17:52:27.270,4269,-0.88,0.53,0.04,10.31,379
17:52:27.280,4279,-0.88,0.53,0.05,10.29,380
17:52:27.294,4289,-0.88,0.53,0.05,10.30,381
17:52:27.300,4299,-0.89,0.52,0.05,10.27,382
17:52:27.310,4309,-0.88,0.52,0.05,10.23,383
17:52:27.327,4319,-0.88,0.52,0.05,10.27,384
17:52:27.330,4329,-0.88,0.53,0.04,10.31,385
17:52:27.343,4339,-0.88,0.53,0.05,10.31,386
17:52:27.353,4349,-0.88,0.53,0.05,10.24,387
17:52:27.384,4359,-0.88,0.54,0.04,10.28,388
17:52:27.386,4369,-0.86,0.55,0.04,10.16,389
17:52:27.386,4379,-0.85,0.55,0.04,10.14,390
17:52:27.391,4389,-0.85,0.55,0.05,10.09,391
17:52:27.465,4399,-0.84,0.57,0.07,10.21,392
17:52:27.465,4409,-0.86,0.56,0.06,10.31,393
17:52:27.469,4419,-0.86,0.53,0.06,10.16,394
17:52:27.469,4429,-0.87,0.51,0.06,10.12,395
17:52:27.469,4439,-0.89,0.52,0.06,10.34,396
17:52:27.470,4449,-0.92,0.50,0.07,10.48,397
17:52:27.506,4459,-0.94,0.49,0.05,10.56,398
17:52:27.629,4469,-0.94,0.48,0.04,10.61,399
17:52:27.629,4479,-0.94,0.49,0.03,10.61,400
17:52:27.633,4489,-0.93,0.49,0.01,10.52,401
17:52:27.633,4499,-0.92,0.49,-0.01,10.41,402
17:52:27.633,4509,-0.92,0.50,-0.01,10.47,403
17:52:27.646,4519,-0.92,0.51,-0.00,10.50,404
17:52:27.646,4529,-0.91,0.52,-0.00,10.51,405
17:52:27.646,4539,-0.90,0.52,-0.00,10.44,406
17:52:27.646,4549,-0.89,0.54,0.02,10.39,407
17:52:27.650,4559,-0.89,0.52,0.01,10.32,408
17:52:27.650,4569,-0.91,0.48,0.01,10.31,409
17:52:27.650,4579,-0.92,0.48,0.02,10.33,410
17:52:27.650,4589,-0.91,0.48,0.01,10.32,411
17:52:27.650,4599,-0.90,0.50,0.01,10.32,412
17:52:27.650,4609,-0.88,0.51,-0.01,10.21,413
17:52:27.650,4619,-0.88,0.52,-0.02,10.21,414
17:52:27.650,4629,-0.88,0.52,-0.04,10.23,415
17:52:27.650,4639,-0.88,0.51,-0.08,10.23,416
17:52:27.651,4649,-0.89,0.51,-0.12,10.29,417
17:52:27.661,4659,-0.90,0.50,-0.15,10.45,418
17:52:27.671,4669,-0.92,0.49,-0.18,10.55,419
17:52:27.680,4679,-0.94,0.51,-0.25,10.97,420
17:52:27.691,4689,-0.93,0.50,-0.26,10.91,421
17:52:27.707,4699,-0.93,0.51,-0.30,11.06,422
17:52:27.712,4709,-0.93,0.52,-0.36,11.29,423
17:52:27.721,4719,-0.94,0.51,-0.43,11.51,424
17:52:27.732,4729,-0.95,0.51,-0.49,11.84,425
17:52:27.748,4739,-0.96,0.50,-0.52,12.07,426
17:52:27.750,4749,-0.95,0.50,-0.55,12.08,427
17:52:27.764,4759,-0.95,0.52,-0.48,11.81,428
17:52:27.770,4769,-0.97,0.55,-0.40,11.83,429
17:52:27.780,4779,-1.02,0.54,-0.21,11.74,430
17:52:27.792,4789,-1.09,0.50,-0.04,12.06,431
17:52:27.800,4799,-1.22,0.44,0.09,13.02,432
17:52:27.814,4809,-1.33,0.37,0.26,14.05,433
17:52:27.821,4819,-1.37,0.50,0.24,14.79,434
17:52:27.834,4829,-1.33,0.67,0.31,15.23,435
17:52:27.843,4839,-1.27,0.70,0.31,14.79,436
17:52:27.851,4849,-1.18,0.61,0.30,13.60,437
17:52:27.862,4859,-1.10,0.53,0.33,12.62,438
17:52:27.877,4869,-1.05,0.46,0.38,12.01,439
17:52:27.880,4879,-1.03,0.51,0.38,12.12,440
