time,timestamp,ax,ay,az,mag,time2
17:56:39.632,161872,-0.91,0.50,0.03,10.41,16139
17:56:39.640,161882,-0.92,0.50,0.03,10.42,16140
17:56:39.650,161892,-0.92,0.49,0.03,10.38,16141
17:56:39.660,161902,-0.91,0.49,0.04,10.38,16142
17:56:39.669,161912,-0.91,0.49,0.04,10.36,16143
17:56:39.682,161922,-0.91,0.50,0.04,10.43,16144
17:56:39.697,161932,-0.91,0.50,0.04,10.34,16145
17:56:39.699,161942,-0.91,0.49,0.03,10.33,16146
17:56:39.719,161952,-0.91,0.50,0.04,10.42,16147
17:56:39.719,161962,-0.91,0.50,0.03,10.39,16148
17:56:39.736,161972,-0.92,0.50,0.04,10.42,16149
17:56:39.739,161982,-0.91,0.50,0.04,10.39,16150
17:56:39.751,161992,-0.92,0.50,0.04,10.49,16151
17:56:39.759,162002,-0.91,0.50,0.03,10.44,16152
17:56:39.773,162012,-0.91,0.50,0.03,10.43,16153
17:56:39.784,162022,-0.91,0.50,0.04,10.37,16154
17:56:39.789,162032,-0.91,0.50,0.04,10.38,16155
17:56:39.806,162042,-0.92,0.49,0.03,10.40,16156
17:56:39.810,162052,-0.91,0.49,0.03,10.37,16157
17:56:39.820,162062,-0.91,0.49,0.03,10.37,16158
17:56:39.830,162072,-0.92,0.50,0.03,10.44,16159
17:56:39.846,162082,-0.91,0.50,0.03,10.35,16160
17:56:39.850,162092,-0.90,0.50,0.05,10.31,16161
17:56:39.861,162102,-0.91,0.50,0.05,10.42,16162
17:56:39.869,162112,-0.92,0.50,0.03,10.47,16163
17:56:39.880,162122,-0.91,0.50,0.04,10.39,16164
17:56:39.890,162132,-0.91,0.49,0.04,10.36,16165
17:56:39.901,162142,-0.92,0.50,0.04,10.42,16166
17:56:39.911,162152,-0.92,0.50,0.03,10.41,16167
17:56:39.919,162162,-0.91,0.50,0.04,10.41,16168
17:56:39.930,162172,-0.90,0.50,0.04,10.33,16169
17:56:39.940,162182,-0.91,0.50,0.03,10.39,16170
17:56:39.956,162192,-0.91,0.50,0.03,10.40,16171
17:56:39.961,162202,-0.92,0.50,0.03,10.45,16172
17:56:39.970,162212,-0.91,0.50,0.03,10.41,16173
17:56:39.981,162222,-0.91,0.51,0.03,10.39,16174
17:56:39.996,162232,-0.91,0.51,0.02,10.41,16175
17:56:40.000,162242,-0.92,0.50,0.03,10.46,16176
17:56:40.057,162252,-0.92,0.49,0.03,10.40,16177
17:56:40.057,162262,-0.93,0.48,0.02,10.44,16178
17:56:40.061,162272,-0.92,0.49,0.02,10.39,16179
17:56:40.061,162282,-0.90,0.51,0.03,10.35,16180
17:56:40.062,162292,-0.89,0.52,0.02,10.33,16181
17:56:40.099,162302,-0.89,0.50,0.02,10.26,16182
17:56:40.099,162312,-0.91,0.50,0.03,10.44,16183
17:56:40.102,162322,-0.93,0.48,0.03,10.43,16184
17:56:40.138,162332,-0.93,0.49,0.04,10.49,16185
17:56:40.139,162342,-0.92,0.51,0.05,10.49,16186
17:56:40.141,162352,-0.91,0.51,0.06,10.48,16187
17:56:40.141,162362,-0.91,0.50,0.06,10.41,16188
17:56:40.143,162372,-0.91,0.50,0.06,10.39,16189
17:56:40.143,162382,-0.90,0.51,0.06,10.35,16190
17:56:40.180,162392,-0.92,0.51,0.06,10.48,16191
17:56:40.182,162402,-0.93,0.49,0.04,10.50,16192
17:56:40.183,162412,-0.93,0.48,0.02,10.44,16193
17:56:40.184,162422,-0.93,0.47,0.01,10.45,16194
17:56:40.216,162432,-0.94,0.47,-0.00,10.55,16195
17:56:40.217,162442,-0.94,0.48,-0.02,10.53,16196
17:56:40.218,162452,-0.94,0.48,-0.05,10.55,16197
17:56:40.220,162462,-0.94,0.49,-0.07,10.63,16198
17:56:40.242,162472,-0.95,0.48,-0.10,10.65,16199
17:56:40.243,162482,-0.95,0.46,-0.13,10.62,16200
17:56:40.250,162492,-0.95,0.46,-0.16,10.64,16201
17:56:40.260,162502,-0.95,0.46,-0.19,10.70,16202
17:56:40.270,162512,-0.94,0.47,-0.23,10.77,16203
17:56:40.279,162522,-0.93,0.47,-0.26,10.74,16204
17:56:40.290,162532,-0.93,0.48,-0.28,10.84,16205
17:56:40.308,162542,-0.92,0.49,-0.30,10.82,16206
17:56:40.311,162552,-0.92,0.49,-0.33,10.92,16207
17:56:40.326,162562,-0.91,0.51,-0.36,11.04,16208
17:56:40.330,162572,-0.91,0.50,-0.41,11.17,16209
17:56:40.340,162582,-0.92,0.49,-0.43,11.27,16210
17:56:40.351,162592,-0.94,0.49,-0.45,11.48,16211
17:56:40.359,162602,-0.95,0.48,-0.46,11.58,16212
17:56:40.371,162612,-0.93,0.52,-0.41,11.45,16213
17:56:40.379,162622,-0.92,0.54,-0.34,11.19,16214
17:56:40.392,162632,-0.93,0.57,-0.21,11.09,16215
17:56:40.401,162642,-0.96,0.60,-0.08,11.39,16216
17:56:40.415,162652,-1.02,0.63,0.06,11.98,16217
17:56:40.420,162662,-1.07,0.66,0.16,12.66,16218
17:56:40.429,162672,-1.11,0.66,0.20,13.05,16219
17:56:40.471,162682,-1.13,0.67,0.18,13.28,16220
17:56:40.472,162692,-1.14,0.65,0.26,13.41,16221
17:56:40.473,162702,-1.15,0.63,0.25,13.32,16222
17:56:40.474,162712,-1.11,0.56,0.29,12.77,16223
17:56:40.479,162722,-1.08,0.49,0.31,12.29,16224
17:56:40.493,162732,-1.05,0.42,0.28,11.62,16225
17:56:40.502,162742,-1.05,0.39,0.30,11.56,16226
17:56:40.509,162752,-1.04,0.36,0.30,11.39,16227
17:56:40.526,162762,-1.00,0.36,0.29,11.07,16228
17:56:40.529,162772,-0.97,0.41,0.27,10.83,16229
17:56:40.542,162782,-0.92,0.46,0.27,10.63,16230
17:56:40.552,162792,-0.85,0.54,0.25,10.36,16231
17:56:40.562,162802,-0.77,0.62,0.20,10.13,16232
17:56:40.569,162812,-0.72,0.64,0.17,9.77,16233
17:56:40.587,162822,-0.70,0.61,0.15,9.39,16234
17:56:40.589,162832,-0.71,0.58,0.16,9.34,16235
17:56:40.600,162842,-0.75,0.57,0.14,9.51,16236
17:56:40.610,162852,-0.79,0.56,0.14,9.77,16237
17:56:40.620,162862,-0.81,0.56,0.15,9.95,16238
17:56:40.635,162872,-0.86,0.30,0.08,9.11,16239
17:56:40.639,162882,-0.84,0.47,0.13,9.70,16240
17:56:40.653,162892,-0.86,0.55,0.17,10.32,16241
17:56:40.663,162902,-0.85,0.43,0.09,9.60,16242
17:56:40.669,162912,-0.86,0.55,0.19,10.40,16243
17:56:40.687,162922,-0.86,0.53,0.12,10.14,16244
17:56:40.688,162932,-0.86,0.53,0.11,10.15,16245
17:56:40.700,162942,-0.83,0.55,0.06,9.99,16246
17:56:40.717,162952,-0.81,0.53,0.03,9.69,16247
17:56:40.718,162962,-0.81,0.53,0.03,9.68,16248
17:56:40.730,162972,-0.83,0.50,-0.01,9.70,16249
17:56:40.743,162982,-0.82,0.49,-0.00,9.57,16250
