timestamp,time,ax,ay,az,mag,time2
16:38:00.143,68370,-0.87,-0.52,0.11,10.25,6787
16:38:00.147,68360,-0.88,-0.52,0.11,10.25,6786
16:38:00.157,68380,-0.87,-0.51,0.11,10.16,6788
16:38:00.165,68390,-0.87,-0.51,0.11,10.19,6789
16:38:00.176,68400,-0.87,-0.52,0.11,10.19,6790
16:38:00.186,68410,-0.88,-0.52,0.10,10.23,6791
16:38:00.194,68420,-0.87,-0.52,0.10,10.21,6792
16:38:00.205,68430,-0.87,-0.53,0.11,10.23,6793
16:38:00.215,68440,-0.87,-0.51,0.11,10.17,6794
16:38:00.225,68450,-0.87,-0.52,0.11,10.23,6795
16:38:00.234,68460,-0.88,-0.52,0.10,10.25,6796
16:38:00.247,68470,-0.88,-0.52,0.11,10.25,6797
16:38:00.255,68480,-0.87,-0.52,0.10,10.24,6798
16:38:00.265,68490,-0.87,-0.52,0.11,10.21,6799
16:38:00.274,68500,-0.86,-0.53,0.10,10.16,6800
16:38:00.291,68510,-0.88,-0.52,0.10,10.27,6801
16:38:00.295,68520,-0.87,-0.52,0.11,10.19,6802
16:38:00.332,68530,-0.87,-0.52,0.10,10.20,6803
16:38:00.333,68540,-0.87,-0.53,0.10,10.26,6804
16:38:00.335,68550,-0.87,-0.52,0.11,10.24,6805
16:38:00.335,68560,-0.87,-0.52,0.11,10.22,6806
16:38:00.373,68570,-0.87,-0.52,0.10,10.23,6807
16:38:00.374,68580,-0.88,-0.52,0.11,10.25,6808
16:38:00.375,68590,-0.87,-0.52,0.10,10.22,6809
16:38:00.376,68600,-0.87,-0.53,0.11,10.25,6810
16:38:00.477,68610,-0.87,-0.52,0.11,10.22,6811
16:38:00.477,68620,-0.87,-0.52,0.12,10.24,6812
16:38:00.480,68630,-0.86,-0.52,0.12,10.16,6813
16:38:00.481,68640,-0.86,-0.52,0.12,10.12,6814
16:38:00.482,68650,-0.87,-0.53,0.11,10.22,6815
16:38:00.483,68660,-0.86,-0.52,0.12,10.15,6816
16:38:00.515,68670,-0.87,-0.53,0.12,10.21,6817
16:38:00.518,68680,-0.87,-0.52,0.12,10.19,6818
16:38:00.518,68690,-0.87,-0.52,0.12,10.19,6819
16:38:00.518,68700,-0.87,-0.52,0.11,10.21,6820
16:38:00.518,68710,-0.87,-0.52,0.11,10.22,6821
16:38:00.519,68720,-0.87,-0.52,0.11,10.24,6822
16:38:00.522,68730,-0.88,-0.53,0.10,10.28,6823
16:38:00.523,68740,-0.89,-0.54,0.09,10.42,6824
16:38:00.526,68750,-0.86,-0.55,0.08,10.24,6825
16:38:00.535,68760,-0.85,-0.52,0.09,9.99,6826
16:38:00.543,68770,-0.87,-0.50,0.09,10.10,6827
16:38:00.562,68780,-0.88,-0.51,0.09,10.22,6828
16:38:00.563,68790,-0.88,-0.52,0.10,10.21,6829
16:38:00.577,68800,-0.85,-0.52,0.08,10.02,6830
16:38:00.586,68810,-0.84,-0.51,0.06,9.87,6831
16:38:00.598,68820,-0.87,-0.51,0.07,10.11,6832
16:38:00.611,68830,-0.88,-0.53,0.09,10.36,6833
16:38:00.615,68840,-0.89,-0.53,0.08,10.40,6834
16:38:00.623,68850,-0.86,-0.54,0.09,10.21,6835
16:38:00.640,68860,-0.86,-0.56,0.10,10.31,6836
16:38:00.645,68870,-0.86,-0.55,0.12,10.28,6837
16:38:00.657,68880,-0.86,-0.55,0.13,10.32,6838
16:38:00.691,68890,-0.85,-0.55,0.13,10.20,6839
16:38:00.694,68900,-0.86,-0.53,0.11,10.15,6840
16:38:00.694,68910,-0.87,-0.53,0.11,10.20,6841
16:38:00.694,68920,-0.89,-0.51,0.10,10.29,6842
16:38:00.703,68930,-0.89,-0.49,0.08,10.19,6843
16:38:00.718,68940,-0.90,-0.49,0.07,10.33,6844
16:38:00.725,68950,-0.92,-0.50,0.04,10.42,6845
16:38:00.740,68960,-0.90,-0.49,0.01,10.29,6846
16:38:00.745,68970,-0.91,-0.48,-0.02,10.24,6847
16:38:00.756,68980,-0.93,-0.46,-0.06,10.38,6848
16:38:00.767,68990,-0.94,-0.44,-0.10,10.42,6849
16:38:00.775,69000,-0.97,-0.42,-0.14,10.61,6850
16:38:00.785,69010,-1.00,-0.38,-0.17,10.84,6851
16:38:00.797,69020,-1.02,-0.36,-0.22,11.05,6852
16:38:00.806,69030,-1.04,-0.36,-0.26,11.36,6853
16:38:00.822,69040,-1.06,-0.35,-0.27,11.48,6854
16:38:00.823,69050,-1.04,-0.36,-0.28,11.31,6855
16:38:00.837,69060,-1.03,-0.37,-0.24,11.19,6856
16:38:00.848,69070,-1.03,-0.40,-0.16,11.16,6857
16:38:00.855,69080,-1.02,-0.45,-0.05,11.13,6858
16:38:00.865,69090,-0.98,-0.50,0.05,11.00,6859
16:38:00.876,69100,-0.96,-0.53,0.16,11.12,6860
16:38:00.893,69110,-0.95,-0.56,0.24,11.28,6861
16:38:00.895,69120,-0.99,-0.61,0.25,11.86,6862
16:38:00.907,69130,-1.04,-0.69,0.21,12.63,6863
16:38:00.914,69140,-1.08,-0.71,0.22,13.12,6864
16:38:00.925,69150,-1.06,-0.68,0.29,12.89,6865
16:38:00.939,69160,-0.96,-0.67,0.30,12.07,6866
16:38:00.945,69170,-0.87,-0.66,0.29,11.25,6867
16:38:00.996,69180,-0.80,-0.64,0.36,10.84,6868
16:38:00.998,69190,-0.75,-0.64,0.43,10.75,6869
16:38:01.000,69200,-0.75,-0.60,0.51,10.88,6870
16:38:01.000,69210,-0.75,-0.58,0.56,11.03,6871
16:38:01.001,69220,-0.79,-0.54,0.51,10.80,6872
16:38:01.038,69230,-0.76,-0.51,0.41,10.02,6873
