time,timestamp,ax,ay,az,mag,time1
15:34:19.388,35791,-0.54,-0.04,-1.17,12.92,3531
15:34:19.389,35801,-0.53,-0.02,-1.18,12.94,3532
15:34:19.390,35811,-0.51,0.03,-1.18,12.83,3533
15:34:19.392,35821,-0.54,-0.01,-1.18,12.97,3534
15:34:19.392,35831,-0.58,-0.01,-1.16,12.94,3535
15:34:19.392,35841,-0.62,-0.02,-1.17,13.24,3536
15:34:19.392,35851,-0.65,-0.04,-1.17,13.35,3537
15:34:19.398,35861,-0.64,-0.09,-1.17,13.42,3538
15:34:19.404,35871,-0.60,-0.15,-1.13,12.92,3539
15:34:19.417,35881,-0.58,-0.18,-1.13,12.82,3540
15:34:19.427,35891,-0.57,-0.23,-1.11,12.70,3541
15:34:19.433,35901,-0.60,-0.25,-1.09,12.68,3542
15:34:19.450,35911,-0.70,-0.22,-1.03,12.62,3543
15:34:19.454,35921,-0.79,-0.17,-1.00,12.88,3544
15:34:19.461,35931,-0.90,-0.11,-1.04,13.80,3545
15:34:19.472,35941,-0.98,-0.05,-1.03,14.27,3546
15:34:19.486,35951,-1.01,-0.01,-0.99,14.10,3547
15:34:19.492,35961,-1.01,-0.02,-0.94,13.81,3548
15:34:19.503,35971,-0.92,-0.06,-0.80,12.26,3549
15:34:19.514,35981,-0.81,-0.13,-0.63,10.34,3550
15:34:19.522,35991,-0.72,-0.26,-0.52,9.25,3551
15:34:19.539,36001,-0.70,-0.42,-0.57,9.90,3552
15:34:19.543,36011,-0.74,-0.59,-0.56,11.03,3553
15:34:19.553,36021,-0.80,-0.63,-0.57,11.63,3554
15:34:19.567,36031,-0.84,-0.55,-0.58,11.65,3555
15:34:19.573,36041,-0.82,-0.45,-0.39,10.19,3556
15:34:19.589,36051,-0.38,-0.39,-0.54,7.66,3557
15:34:19.593,36061,-0.41,-0.61,-0.14,7.50,3558
15:34:19.603,36071,-0.21,-0.65,0.17,7.05,3559
15:34:19.613,36081,-0.11,-0.77,0.13,7.92,3560
15:34:19.622,36091,-0.31,-0.72,0.17,8.00,3561
15:34:19.633,36101,-0.51,-0.58,0.02,7.73,3562
15:34:19.648,36111,-0.81,-0.35,-0.11,8.88,3563
15:34:19.652,36121,-0.96,-0.06,-0.28,10.04,3564
15:34:19.662,36131,-1.21,-0.31,-0.41,13.13,3565
15:34:19.678,36141,-1.40,-1.12,-0.52,18.68,3566
15:34:19.682,36151,-1.26,-2.00,-0.57,24.36,3567
15:34:19.701,36161,-1.25,-1.81,-0.13,22.07,3568
15:34:19.701,36171,-1.32,-0.87,-0.00,15.77,3569
15:34:19.713,36181,-1.58,-0.25,-0.14,16.08,3570
15:34:19.723,36191,-1.59,0.23,-0.33,16.44,3571
15:34:19.735,36201,-1.28,-0.01,-0.80,15.10,3572
15:34:19.746,36211,-0.97,-0.88,-0.93,16.08,3573
15:34:19.752,36221,-0.70,-1.58,-1.11,20.54,3574
15:34:19.795,36231,-0.56,-1.35,-0.82,16.76,3575
15:34:19.803,36241,-0.76,-0.74,-0.43,11.41,3576
15:34:19.804,36251,-1.11,-0.17,-0.07,11.26,3577
15:34:19.805,36261,-1.35,0.22,0.04,13.73,3578
15:34:19.807,36271,-1.26,0.01,0.20,12.74,3579
15:34:19.812,36281,-0.98,-0.50,0.20,11.20,3580
15:34:19.822,36291,-0.75,-0.82,0.17,11.26,3581
15:34:19.832,36301,-0.66,-0.88,0.04,11.00,3582
15:34:19.842,36311,-0.73,-0.73,-0.06,10.33,3583
15:34:19.855,36321,-0.86,-0.59,-0.14,10.50,3584
15:34:19.863,36331,-0.94,-0.51,-0.18,10.88,3585
15:34:19.875,36341,-0.95,-0.49,-0.23,10.97,3586
15:34:19.882,36351,-0.91,-0.54,-0.25,10.87,3587
15:34:19.926,36361,-0.88,-0.60,-0.28,11.01,3588
15:34:19.927,36371,-0.86,-0.62,-0.31,11.00,3589
15:34:19.980,36381,-0.86,-0.58,-0.31,10.80,3590
15:34:19.981,36391,-0.90,-0.54,-0.29,10.91,3591
15:34:19.982,36401,-0.93,-0.52,-0.28,11.03,3592
15:34:19.983,36411,-0.92,-0.52,-0.28,10.95,3593
15:34:19.984,36421,-0.91,-0.54,-0.28,10.97,3594
15:34:20.020,36431,-0.92,-0.55,-0.29,11.10,3595
15:34:20.023,36441,-0.92,-0.57,-0.30,11.24,3596
15:34:20.026,36451,-0.90,-0.61,-0.32,11.35,3597
15:34:20.026,36461,-0.88,-0.61,-0.34,11.22,3598
15:34:20.026,36471,-0.88,-0.58,-0.34,11.06,3599
15:34:20.026,36481,-0.88,-0.56,-0.31,10.90,3600
15:34:20.026,36491,-0.91,-0.54,-0.30,11.01,3601
15:34:20.064,36501,-0.94,-0.54,-0.28,11.22,3602
15:34:20.064,36511,-0.94,-0.56,-0.26,11.22,3603
