time,timestamps,ax,ay,az,mag,time2
15:43:18.882,41695,-0.94,-0.49,-0.35,11.17,4121
15:43:18.894,41705,-0.96,-0.48,-0.38,11.43,4122
15:43:18.906,41715,-0.98,-0.46,-0.40,11.55,4123
15:43:18.921,41725,-0.99,-0.41,-0.40,11.40,4124
15:43:18.921,41735,-1.01,-0.41,-0.41,11.65,4125
15:43:18.957,41745,-1.01,-0.42,-0.40,11.69,4126
15:43:18.958,41755,-0.99,-0.45,-0.40,11.59,4127
15:43:18.974,41765,-0.98,-0.46,-0.41,11.52,4128
15:43:18.975,41775,-0.98,-0.44,-0.40,11.45,4129
15:43:18.975,41785,-0.99,-0.44,-0.38,11.50,4130
15:43:18.984,41795,-0.99,-0.45,-0.36,11.49,4131
15:43:18.992,41805,-0.99,-0.46,-0.31,11.41,4132
15:43:19.002,41815,-0.98,-0.48,-0.27,11.26,4133
15:43:19.013,41825,-0.98,-0.48,-0.23,11.10,4134
15:43:19.022,41835,-1.01,-0.44,-0.17,11.13,4135
15:43:19.032,41845,-1.03,-0.46,-0.14,11.35,4136
15:43:19.041,41855,-1.00,-0.48,-0.12,11.13,4137
15:43:19.051,41865,-0.95,-0.47,-0.12,10.63,4138
15:43:19.062,41875,-0.93,-0.45,-0.12,10.39,4139
15:43:19.072,41885,-0.96,-0.43,-0.13,10.59,4140
15:43:19.091,41895,-0.99,-0.40,-0.12,10.77,4141
15:43:19.091,41905,-1.01,-0.40,-0.14,11.01,4142
15:43:19.110,41915,-1.00,-0.45,-0.17,11.12,4143
15:43:19.111,41925,-1.01,-0.46,-0.21,11.34,4144
15:43:19.164,41935,-1.06,-0.47,-0.22,11.75,4145
15:43:19.164,41945,-1.10,-0.48,-0.24,12.31,4146
15:43:19.164,41955,-1.15,-0.54,-0.25,12.90,4147
15:43:19.166,41965,-1.15,-0.57,-0.21,12.99,4148
15:43:19.167,41975,-1.06,-0.58,-0.12,12.16,4149
15:43:19.200,41985,-1.00,-0.63,-0.09,11.84,4150
15:43:19.201,41995,-0.95,-0.69,-0.02,11.73,4151
15:43:19.202,42005,-0.97,-0.80,0.02,12.57,4152
15:43:19.203,42015,-1.01,-1.02,0.18,14.46,4153
15:43:19.242,42025,-0.95,-1.20,0.28,15.56,4154
15:43:19.242,42035,-1.02,-1.00,0.63,15.60,4155
15:43:19.243,42045,-0.88,-1.13,0.57,15.46,4156
15:43:19.244,42055,-1.07,-0.93,-0.01,14.17,4157
15:43:19.283,42065,-1.21,-0.67,0.07,13.85,4158
15:43:19.283,42075,-1.21,-0.35,-0.19,12.80,4159
15:43:19.284,42085,-1.34,-0.28,-0.72,15.48,4160
15:43:19.286,42095,-1.42,-0.30,-0.99,17.56,4161
15:43:19.324,42105,-1.64,-0.49,-1.03,20.00,4162
15:43:19.324,42115,-1.78,-0.39,-1.11,21.30,4163
15:43:19.326,42125,-1.85,-0.23,-0.92,20.80,4164
15:43:19.327,42135,-1.66,0.27,-1.31,21.33,4165
15:43:19.350,42145,-1.58,0.31,-1.19,20.05,4166
15:43:19.350,42155,-1.15,0.01,-1.16,16.29,4167
15:43:19.351,42165,-0.92,-0.24,-1.14,14.83,4168
15:43:19.366,42175,-0.84,-0.32,-1.39,16.51,4169
15:43:19.375,42185,-0.80,-0.51,-1.24,15.63,4170
15:43:19.385,42195,-0.82,-0.48,-1.16,14.96,4171
15:43:19.394,42205,-0.80,-0.35,-1.10,14.11,4172
