time,timestamps,ax,ay,az,mag,timee1
15:38:48.727,200514,-0.65,-0.83,-0.16,10.68,20003
15:38:48.728,200524,-0.84,-0.83,0.01,11.84,20004
15:38:48.765,200534,-0.94,-1.00,0.15,13.77,20005
15:38:48.765,200544,-0.89,-1.40,0.37,16.99,20006
15:38:48.767,200554,-0.91,-1.38,0.04,16.50,20007
15:38:48.771,200564,-0.91,-1.16,0.13,14.79,20008
15:38:48.771,200574,-1.00,-0.75,-0.08,12.56,20009
15:38:48.771,200584,-1.26,-0.55,-0.25,13.93,20010
15:38:48.771,200594,-1.27,-0.23,-0.49,13.80,20011
15:38:48.771,200604,-1.37,-0.11,-0.81,15.93,20012
15:38:48.771,200614,-1.49,-0.04,-0.95,17.65,20013
15:38:48.771,200624,-1.72,-0.05,-1.01,19.94,20014
15:38:48.771,200634,-1.85,0.09,-1.13,21.73,20015
15:38:48.771,200644,-1.66,-0.09,-1.28,21.01,20016
15:38:48.809,200654,-1.15,-0.41,-0.91,15.29,20017
15:38:48.809,200664,-1.03,-0.44,-1.03,15.17,20018
15:38:48.824,200674,-1.05,-0.34,-1.32,17.19,20019
15:38:48.825,200684,-0.95,-0.23,-1.03,14.15,20020
15:38:48.826,200694,-0.88,-0.16,-1.09,14.15,20021
15:38:48.842,200704,-0.84,-0.12,-1.11,13.98,20022
15:38:48.843,200714,-0.84,-0.08,-1.13,14.08,20023
15:38:48.846,200724,-0.86,-0.06,-1.15,14.37,20024
15:38:48.862,200734,-0.86,-0.07,-1.16,14.47,20025
15:38:48.862,200744,-0.84,-0.02,-1.16,14.32,20026
15:38:48.882,200754,-0.83,0.02,-1.14,14.12,20027
15:38:48.882,200764,-0.80,0.10,-1.14,14.01,20028
15:38:48.900,200774,-0.77,0.04,-1.13,13.69,20029
15:38:48.905,200784,-0.71,0.04,-1.11,13.24,20030
15:38:48.921,200794,-0.67,0.03,-1.10,12.90,20031
15:38:48.923,200804,-0.69,-0.03,-1.11,13.06,20032
15:38:48.938,200814,-0.66,-0.04,-1.06,12.48,20033
15:38:48.943,200824,-0.67,-0.08,-1.05,12.50,20034
15:38:48.959,200834,-0.66,-0.09,-1.05,12.46,20035
15:38:48.965,200844,-0.66,-0.11,-0.96,11.74,20036
15:38:48.978,200854,-0.66,-0.16,-1.01,12.13,20037
15:38:48.985,200864,-0.66,-0.21,-1.02,12.36,20038
15:38:48.995,200874,-0.68,-0.28,-1.03,12.69,20039
15:38:49.013,200884,-0.69,-0.29,-1.05,12.92,20040
15:38:49.013,200894,-0.72,-0.28,-1.00,12.66,20041
15:38:49.029,200904,-0.78,-0.24,-1.00,12.87,20042
15:38:49.034,200914,-0.82,-0.25,-0.97,12.95,20043
15:38:49.049,200924,-0.86,-0.27,-0.95,13.04,20044
