time,timestamps,ax,ay,az,mag,time2
15:36:07.808,39684,-0.81,-0.17,-1.19,14.50,3920
15:36:07.824,39694,-0.71,-0.17,-1.20,14.01,3921
15:36:07.827,39704,-0.73,-0.11,-1.18,13.89,3922
15:36:07.839,39714,-0.78,-0.06,-1.19,14.21,3923
15:36:07.853,39724,-0.80,-0.04,-1.18,14.25,3924
15:36:07.857,39734,-0.78,-0.03,-1.15,13.93,3925
15:36:07.873,39744,-0.72,-0.01,-1.10,13.15,3926
15:36:07.877,39754,-0.67,0.05,-1.11,12.96,3927
15:36:07.916,39764,-0.66,0.07,-1.13,13.12,3928
15:36:07.917,39774,-0.65,0.02,-1.13,13.00,3929
15:36:07.918,39784,-0.65,-0.01,-1.13,13.05,3930
15:36:07.921,39794,-0.67,-0.07,-1.11,12.95,3931
15:36:07.958,39804,-0.68,-0.12,-1.08,12.83,3932
15:36:07.958,39814,-0.75,-0.15,-1.09,13.32,3933
15:36:07.960,39824,-0.75,-0.12,-1.11,13.44,3934
15:36:07.961,39834,-0.60,-0.06,-1.13,12.83,3935
15:36:07.995,39844,-0.68,-0.16,-1.09,12.96,3936
15:36:07.996,39854,-0.82,-0.20,-1.11,13.92,3937
15:36:07.997,39864,-0.79,-0.15,-1.08,13.43,3938
15:36:07.999,39874,-0.84,-0.11,-1.06,13.56,3939
15:36:08.036,39884,-0.91,-0.07,-1.04,13.84,3940
15:36:08.037,39894,-0.88,-0.05,-0.98,13.20,3941
15:36:08.041,39904,-0.84,-0.10,-0.89,12.24,3942
15:36:08.041,39914,-0.81,-0.17,-0.81,11.62,3943
15:36:08.078,39924,-0.78,-0.33,-0.65,10.65,3944
15:36:08.080,39934,-0.71,-0.52,-0.55,10.36,3945
15:36:08.128,39944,-0.78,-0.63,-0.52,11.32,3946
15:36:08.128,39954,-0.93,-0.56,-0.55,12.15,3947
15:36:08.130,39964,-1.06,-0.40,-0.52,12.51,3948
15:36:08.146,39974,-1.07,-0.25,-0.44,11.87,3949
15:36:08.148,39984,-0.89,-0.12,-0.45,10.05,3950
15:36:08.149,39994,-0.51,-0.17,-0.45,7.02,3951
15:36:08.150,40004,-0.41,-0.61,-0.04,7.34,3952
15:36:08.151,40014,-0.34,-0.75,-0.07,8.25,3953
15:36:08.153,40024,-0.28,-0.79,0.05,8.45,3954
15:36:08.157,40034,-0.30,-0.60,0.14,6.89,3955
15:36:08.173,40044,-0.54,-0.40,-0.02,6.70,3956
15:36:08.177,40054,-0.69,-0.17,-0.03,7.08,3957
15:36:08.191,40064,-0.83,-0.01,-0.34,8.96,3958
15:36:08.199,40074,-0.91,0.03,-0.50,10.34,3959
15:36:08.213,40084,-0.94,0.03,-0.66,11.48,3960
15:36:08.217,40094,-0.99,-0.23,-0.68,12.27,3961
15:36:08.230,40104,-2.13,-2.00,0.43,29.53,3962
15:36:08.238,40114,-2.13,-2.00,-0.81,30.32,3963
15:36:08.247,40124,-0.60,-0.98,-0.05,11.49,3964
15:36:08.257,40134,0.38,-0.76,0.27,8.89,3965
15:36:08.273,40144,-1.08,-0.90,0.24,14.26,3966
15:36:08.277,40154,-2.13,0.30,-0.20,21.55,3967
15:36:08.293,40164,-2.13,0.61,-0.70,23.17,3968
15:36:08.301,40174,-1.25,-0.44,-1.05,16.91,3969
15:36:08.307,40184,-0.62,-1.67,-1.39,22.59,3970
15:36:08.318,40194,0.16,-2.00,-1.16,23.24,3971
15:36:08.330,40204,0.07,-1.22,-0.37,12.76,3972
15:36:08.340,40214,-0.69,-0.13,-0.07,7.05,3973
15:36:08.350,40224,-1.44,0.74,-0.20,16.29,3974
15:36:08.359,40234,-2.12,0.64,-0.37,22.46,3975
15:36:08.367,40244,-1.45,0.19,0.29,14.95,3976
15:36:08.381,40254,-0.87,-0.50,0.00,10.06,3977
15:36:08.388,40264,-0.78,-0.89,-0.28,12.21,3978
15:36:08.397,40274,-0.65,-0.89,-0.25,11.34,3979
15:36:08.416,40284,-0.69,-0.80,-0.24,10.81,3980
15:36:08.418,40294,-0.88,-0.64,-0.21,11.09,3981
15:36:08.427,40304,-0.99,-0.49,-0.18,11.21,3982
15:36:08.437,40314,-0.97,-0.44,-0.14,10.69,3983
15:36:08.449,40324,-0.94,-0.46,-0.14,10.56,3984
15:36:08.462,40334,-0.94,-0.49,-0.15,10.72,3985
15:36:08.470,40344,-0.97,-0.47,-0.16,10.92,3986
15:36:08.477,40354,-0.98,-0.47,-0.17,11.03,3987
15:36:08.492,40364,-0.97,-0.49,-0.19,11.03,3988
