time,timestamp,ax,ay,az,mag,time1
15:38:00.544,152394,-1.26,-0.18,-0.24,12.93,15191
15:38:00.544,152404,-1.90,0.19,-0.61,20.02,15192
15:38:00.545,152414,-1.85,0.02,-1.02,21.10,15193
15:38:00.546,152424,-1.22,-0.73,-1.06,17.75,15194
15:38:00.583,152434,-0.55,-1.39,-0.92,17.59,15195
15:38:00.584,152444,-0.39,-1.23,-0.57,14.08,15196
15:38:00.585,152454,-0.53,-0.71,-0.36,9.51,15197
15:38:00.586,152464,-0.85,-0.06,-0.02,8.48,15198
15:38:00.602,152474,-1.24,0.31,0.15,12.87,15199
15:38:00.606,152484,-1.30,0.16,0.10,13.11,15200
15:38:00.619,152494,-1.13,-0.31,-0.06,11.71,15201
15:38:00.625,152504,-0.84,-0.78,-0.08,11.50,15202
15:38:00.635,152514,-0.77,-0.77,-0.12,10.96,15203
15:38:00.649,152524,-0.86,-0.49,-0.13,9.98,15204
15:38:00.655,152534,-0.96,-0.44,-0.15,10.68,15205
15:38:00.666,152544,-1.02,-0.43,-0.15,11.20,15206
15:38:00.678,152554,-1.01,-0.41,-0.16,11.00,15207
15:38:00.686,152564,-0.95,-0.42,-0.18,10.55,15208
15:38:00.697,152574,-0.93,-0.46,-0.22,10.60,15209
15:38:00.707,152584,-0.95,-0.51,-0.26,11.09,15210
15:38:00.722,152594,-0.99,-0.50,-0.28,11.39,15211
15:38:00.726,152604,-1.00,-0.44,-0.29,11.32,15212
15:38:00.754,152614,-0.98,-0.42,-0.29,11.07,15213
15:38:00.755,152624,-1.00,-0.40,-0.31,11.26,15214
15:38:00.756,152634,-1.00,-0.42,-0.30,11.28,15215
15:38:00.772,152644,-0.98,-0.46,-0.37,11.51,15216
15:38:00.777,152654,-0.93,-0.52,-0.40,11.39,15217
15:38:00.792,152664,-0.91,-0.55,-0.41,11.42,15218
15:38:00.795,152674,-0.92,-0.53,-0.43,11.49,15219
15:38:00.811,152684,-0.98,-0.49,-0.45,11.82,15220
15:38:00.815,152694,-1.03,-0.42,-0.45,11.97,15221
15:38:00.829,152704,-1.04,-0.43,-0.49,12.30,15222
15:38:00.836,152714,-1.03,-0.38,-0.50,12.10,15223
15:38:00.845,152724,-1.05,-0.39,-0.51,12.26,15224
15:38:00.856,152734,-1.04,-0.41,-0.53,12.41,15225
15:38:00.874,152744,-1.02,-0.47,-0.50,12.28,15226
15:38:00.874,152754,-0.98,-0.51,-0.45,11.93,15227
15:38:00.886,152764,-0.96,-0.55,-0.40,11.77,15228
15:38:00.910,152774,-0.97,-0.50,-0.32,11.34,15229
15:38:00.911,152784,-0.97,-0.47,-0.28,11.11,15230
15:38:00.927,152794,-0.95,-0.49,-0.28,11.11,15231
15:38:00.931,152804,-0.98,-0.53,-0.30,11.49,15232
15:38:00.937,152814,-0.96,-0.57,-0.28,11.48,15233
15:38:00.945,152824,-0.96,-0.59,-0.27,11.61,15234
15:38:00.959,152834,-0.97,-0.57,-0.28,11.60,15235
15:38:00.965,152844,-0.98,-0.53,-0.30,11.56,15236
15:38:00.979,152854,-0.95,-0.54,-0.25,11.18,15237
15:38:00.987,152864,-0.95,-0.51,-0.22,11.05,15238
15:38:01.001,152874,-0.97,-0.50,-0.21,11.09,15239
15:38:01.007,152884,-0.99,-0.51,-0.19,11.29,15240
15:38:01.068,152894,-0.97,-0.53,-0.19,11.19,15241
15:38:01.068,152904,-0.93,-0.52,-0.20,10.89,15242
15:38:01.069,152914,-0.90,-0.50,-0.21,10.55,15243
15:38:01.070,152924,-0.90,-0.47,-0.21,10.38,15244
15:38:01.109,152934,-0.92,-0.51,-0.43,11.35,15245
15:38:01.109,152944,-0.97,-0.46,-0.26,11.07,15246
15:38:01.111,152954,-1.00,-0.49,-0.22,11.31,15247
15:38:01.151,152964,-1.02,-0.47,-0.19,11.38,15248
15:38:01.151,152974,-1.11,-0.57,-0.18,12.58,15249
15:38:01.152,152984,-1.09,-0.70,-0.19,13.11,15250
15:38:01.154,152994,-1.03,-0.76,-0.23,13.04,15251
15:38:01.156,153004,-0.96,-0.75,-0.18,12.32,15252
15:38:01.156,153014,-0.89,-0.75,-0.17,11.76,15253
15:38:01.156,153024,-0.81,-0.82,-0.16,11.69,15254
15:38:01.187,153034,-0.86,-0.90,-0.10,12.53,15255
15:38:01.187,153044,-1.04,-1.08,0.30,15.27,15256
15:38:01.187,153054,-0.97,-1.04,0.25,14.46,15257
15:38:01.187,153064,-1.08,-1.03,0.20,15.07,15258
15:38:01.219,153074,-1.17,-0.94,-0.05,15.05,15259
15:38:01.219,153084,-1.11,-0.58,-0.29,12.85,15260
15:38:01.219,153094,-1.26,-0.26,-0.41,13.53,15261
15:38:01.255,153104,-1.29,-0.00,-0.65,14.44,15262
15:38:01.256,153114,-1.37,0.01,-1.00,16.92,15263
15:38:01.257,153124,-1.51,-0.02,-1.01,18.18,15264
15:38:01.259,153134,-1.69,-0.14,-1.06,20.02,15265
15:38:01.265,153144,-1.77,-0.04,-1.48,23.06,15266
15:38:01.279,153154,-1.35,-0.23,-1.16,17.97,15267
15:38:01.285,153164,-1.08,-0.22,-1.14,15.90,15268
15:38:01.297,153174,-0.93,-0.27,-1.12,14.76,15269
15:38:01.306,153184,-0.79,-0.25,-1.06,13.42,15270
15:38:01.318,153194,-0.69,-0.10,-1.16,13.57,15271
15:38:01.328,153204,-0.63,-0.17,-1.19,13.57,15272
15:38:01.336,153214,-0.60,-0.20,-1.22,13.74,15273
15:38:01.349,153224,-0.63,-0.12,-1.17,13.40,15274
15:38:01.356,153234,-0.67,-0.09,-1.13,13.12,15275
15:38:01.368,153244,-0.71,-0.04,-1.18,13.79,15276
15:38:01.375,153254,-0.74,-0.02,-1.16,13.76,15277
15:38:01.385,153264,-0.74,-0.04,-1.15,13.69,15278
15:38:01.402,153274,-0.76,-0.08,-1.16,13.93,15279
15:38:01.406,153284,-0.75,-0.08,-1.16,13.85,15280
15:38:01.415,153294,-0.74,-0.06,-1.17,13.82,15281
15:38:01.429,153304,-0.73,-0.07,-1.19,13.98,15282
15:38:01.435,153314,-0.73,-0.14,-1.18,13.96,15283
15:38:01.445,153324,-0.73,-0.19,-1.13,13.56,15284
15:38:01.456,153334,-0.74,-0.19,-1.06,13.04,15285
15:38:01.465,153344,-0.72,-0.19,-0.99,12.42,15286
15:38:01.479,153354,-0.73,-0.20,-1.00,12.50,15287
15:38:01.487,153364,-0.76,-0.21,-1.00,12.72,15288
15:38:01.496,153374,-0.79,-0.18,-1.00,12.87,15289
15:38:01.506,153384,-0.76,-0.14,-0.97,12.35,15290
15:38:01.519,153394,-0.75,-0.22,-0.90,11.85,15291
15:38:01.525,153404,-0.76,-0.30,-0.87,11.94,15292
15:38:01.540,153414,-0.79,-0.37,-0.80,11.81,15293
15:38:01.549,153424,-0.81,-0.44,-0.76,11.95,15294
15:38:01.558,153434,-0.82,-0.46,-0.69,11.68,15295
15:38:01.569,153444,-0.87,-0.43,-0.63,11.60,15296
15:38:01.576,153454,-0.90,-0.45,-0.49,11.16,15297
15:38:01.591,153464,-0.87,-0.43,-0.47,10.77,15298
15:38:01.595,153474,-0.93,-0.39,-0.42,10.91,15299
15:38:01.611,153484,-0.97,-0.33,-0.42,11.04,15300
15:38:01.615,153494,-0.60,-0.13,-0.52,8.05,15301
15:38:01.625,153504,-0.93,-0.33,-0.31,10.40,15302
15:38:01.642,153514,-0.92,-0.31,-0.67,11.78,15303
15:38:01.645,153524,-0.95,-0.39,-0.32,10.81,15304
15:38:01.655,153534,-0.76,-0.34,-0.15,8.46,15305
15:38:01.665,153544,-0.84,-0.36,-0.12,9.24,15306
15:38:01.675,153554,-0.86,-0.45,-0.16,9.83,15307
15:38:01.686,153564,-0.72,-0.49,-0.10,8.78,15308
15:38:01.702,153574,-0.57,-0.59,-0.06,8.23,15309
15:38:01.706,153584,-0.43,-0.67,-0.00,7.99,15310
15:38:01.719,153594,-0.31,-0.69,0.05,7.59,15311
15:38:01.728,153604,-0.31,-0.66,-0.20,7.55,15312
15:38:01.736,153614,-0.50,-0.43,0.01,6.64,15313
15:38:01.745,153624,-0.75,-0.37,-0.17,8.54,15314
15:38:01.787,153634,-0.75,-0.25,-0.25,8.28,15315
15:38:01.788,153644,-0.77,-0.20,-0.28,8.39,15316
15:38:01.789,153654,-0.73,-0.28,-0.48,9.19,15317
15:38:01.789,153664,-0.81,-0.53,-0.64,11.57,15318
15:38:01.828,153674,-1.61,-1.83,-0.22,24.50,15319
15:38:01.829,153684,-1.93,-2.00,-0.54,28.37,15320
15:38:01.829,153694,-1.28,-1.23,0.17,17.87,15321
15:38:01.831,153704,-0.86,0.04,0.06,8.64,15322
15:38:01.873,153714,-1.48,-0.16,0.22,15.01,15323
15:38:01.873,153724,-1.63,0.33,-0.08,16.69,15324
15:38:01.873,153734,-1.56,0.16,-0.58,16.72,15325
15:38:01.874,153744,-0.97,-0.71,-1.03,15.87,15326
15:38:01.874,153754,-0.48,-1.78,-1.05,21.24,15327
15:38:01.913,153764,-0.20,-2.00,-0.92,22.14,15328
15:38:01.913,153774,-0.35,-0.76,0.45,9.50,15329
15:38:01.913,153784,-0.79,-0.36,-0.07,8.68,15330
15:38:01.915,153794,-1.30,0.27,-0.10,13.30,15331
15:38:01.952,153804,-1.42,0.46,-0.07,14.95,15332
15:38:01.956,153814,-1.21,-0.03,-0.03,12.14,15333
15:38:01.956,153824,-0.92,-0.56,-0.16,10.94,15334
15:38:01.956,153834,-0.79,-0.74,-0.24,11.09,15335
15:38:01.985,153844,-0.75,-0.79,-0.29,11.30,15336
15:38:01.987,153854,-0.80,-0.74,-0.30,11.29,15337
15:38:01.988,153864,-0.98,-0.58,-0.29,11.73,15338
15:38:01.996,153874,-1.04,-0.48,-0.27,11.78,15339
15:38:02.006,153884,-1.01,-0.43,-0.23,11.26,15340
15:38:02.034,153894,-0.98,-0.46,-0.19,11.02,15341
15:38:02.034,153904,-0.97,-0.52,-0.17,11.14,15342
15:38:02.036,153914,-0.95,-0.53,-0.15,10.99,15343
15:38:02.054,153924,-0.93,-0.54,-0.11,10.80,15344
15:38:02.054,153934,-0.94,-0.54,-0.10,10.89,15345
15:38:02.074,153944,-0.94,-0.54,-0.10,10.90,15346
15:38:02.074,153954,-0.93,-0.53,-0.12,10.79,15347
15:38:02.089,153964,-0.94,-0.53,-0.13,10.81,15348
15:38:02.100,153974,-0.94,-0.52,-0.16,10.85,15349
15:38:02.105,153984,-0.94,-0.51,-0.20,10.91,15350
15:38:02.115,153994,-0.96,-0.50,-0.24,11.05,15351
15:38:02.129,154004,-0.96,-0.50,-0.28,11.22,15352
15:38:02.139,154014,-0.97,-0.52,-0.32,11.43,15353
15:38:02.149,154024,-0.97,-0.52,-0.34,11.52,15354
15:38:02.159,154034,-0.97,-0.49,-0.34,11.41,15355
15:38:02.168,154044,-0.99,-0.48,-0.35,11.51,15356
15:38:02.175,154054,-1.00,-0.47,-0.35,11.57,15357
15:38:02.189,154064,-0.99,-0.47,-0.36,11.58,15358
15:38:02.199,154074,-0.97,-0.50,-0.35,11.46,15359
15:38:02.241,154084,-0.97,-0.52,-0.33,11.44,15360
15:38:02.241,154094,-0.97,-0.52,-0.30,11.41,15361
15:38:02.242,154104,-0.95,-0.52,-0.28,11.20,15362
15:38:02.243,154114,-0.94,-0.53,-0.23,11.03,15363
15:38:02.266,154124,-0.92,-0.54,-0.22,10.91,15364
15:38:02.266,154134,-0.94,-0.54,-0.21,11.06,15365
15:38:02.266,154144,-0.94,-0.55,-0.19,11.03,15366
15:38:02.283,154154,-0.93,-0.54,-0.18,10.91,15367
15:38:02.288,154164,-0.94,-0.54,-0.20,11.02,15368
15:38:02.297,154174,-0.93,-0.56,-0.17,10.99,15369
15:38:02.308,154184,-0.93,-0.55,-0.17,10.98,15370
15:38:02.319,154194,-0.96,-0.55,-0.12,11.14,15371
15:38:02.329,154204,-1.02,-0.51,-0.08,11.42,15372
15:38:02.337,154214,-0.97,-0.54,-0.09,11.17,15373
15:38:02.346,154224,-0.87,-0.57,-0.15,10.53,15374
15:38:02.362,154234,-0.82,-0.58,-0.20,10.26,15375
15:38:02.365,154244,-0.87,-0.57,-0.27,10.73,15376
15:38:02.375,154254,-0.96,-0.57,-0.31,11.58,15377
15:38:02.414,154264,-0.99,-0.55,-0.34,11.80,15378
15:38:02.415,154274,-0.95,-0.55,-0.36,11.57,15379
15:38:02.416,154284,-0.91,-0.54,-0.36,11.19,15380
15:38:02.437,154294,-0.89,-0.56,-0.34,11.07,15381
15:38:02.439,154304,-0.90,-0.56,-0.33,11.10,15382
15:38:02.453,154314,-0.92,-0.54,-0.28,11.01,15383
15:38:02.453,154324,-0.93,-0.53,-0.31,11.17,15384
15:38:02.455,154334,-0.94,-0.53,-0.33,11.24,15385
15:38:02.468,154344,-0.94,-0.51,-0.34,11.27,15386
15:38:02.475,154354,-0.94,-0.49,-0.35,11.21,15387
15:38:02.486,154364,-0.97,-0.49,-0.38,11.46,15388
15:38:02.499,154374,-0.98,-0.49,-0.40,11.71,15389
15:38:02.506,154384,-0.95,-0.53,-0.39,11.57,15390
15:38:02.519,154394,-0.92,-0.56,-0.37,11.39,15391
15:38:02.530,154404,-0.89,-0.59,-0.34,11.16,15392
15:38:02.535,154414,-0.88,-0.60,-0.32,11.11,15393
15:38:02.572,154424,-0.91,-0.57,-0.31,11.17,15394
15:38:02.572,154434,-0.93,-0.52,-0.28,11.07,15395
15:38:02.574,154444,-0.94,-0.50,-0.30,11.02,15396
15:38:02.576,154454,-0.93,-0.51,-0.32,11.14,15397
15:38:02.612,154464,-0.93,-0.53,-0.35,11.28,15398
15:38:02.612,154474,-0.94,-0.54,-0.37,11.49,15399
15:38:02.613,154484,-0.92,-0.53,-0.40,11.35,15400
15:38:02.615,154494,-0.92,-0.54,-0.40,11.42,15401
