timestamps,ax,ay,az,y
2178829,-1.05,-0.17,-0.12,10.69
2178851,-1.07,-0.12,-0.18,10.96
2178873,-1.07,-0.18,-0.18,10.97
2178895,-1.05,-0.24,-0.18,10.96
2178917,-1.06,-0.25,-0.20,11.10
2178939,-1.11,-0.19,-0.24,11.52
2178961,-1.11,-0.22,-0.24,11.60
2178983,-1.15,-0.23,-0.25,12.02
2179005,-1.11,-0.18,-0.26,11.53
2179027,-1.07,-0.24,-0.16,11.12
2179049,-1.06,-0.25,-0.12,10.93
2179071,-1.04,-0.22,-0.14,10.73
2179093,-1.02,-0.26,-0.12,10.63
2179115,-1.04,-0.24,-0.16,10.81
2179137,-1.06,-0.17,-0.23,10.98
2179159,-1.08,-0.17,-0.25,11.22
2179181,-1.07,-0.24,-0.21,11.19
2179203,-1.07,-0.25,-0.22,11.20
2179225,-1.06,-0.22,-0.17,10.94
2179247,-1.04,-0.19,-0.13,10.63
2179269,-1.05,-0.20,-0.14,10.81
2179291,-1.04,-0.23,-0.12,10.71
2179313,-1.00,-0.24,-0.10,10.32
2179335,-1.08,-0.12,-0.19,11.03
2179357,-1.04,-0.24,-0.22,10.86
2179379,-1.07,-0.21,-0.21,11.06
2179401,-1.07,-0.21,-0.22,11.10
2179423,-1.10,-0.22,-0.29,11.55
2179445,-1.06,-0.18,-0.22,10.97
2179467,-1.09,-0.23,-0.20,11.29
2179489,-1.27,-0.21,-0.28,13.21
2179511,-1.37,-0.11,-0.32,14.06
2179533,-1.35,-0.12,-0.40,14.14
2179555,-1.36,-0.14,-0.50,14.58
2179577,-1.34,-0.05,-0.58,14.64
2179599,-1.21,-0.21,-0.18,12.39
2179621,-0.94,-0.41,0.18,10.36
2179643,-0.80,-0.35,0.17,8.85
2179665,-1.01,-0.07,-0.36,10.74
2179687,-1.25,-0.14,-0.54,13.66
2179709,-1.33,-0.19,-0.39,14.00
2179731,-1.15,-0.32,-0.38,12.57
2179753,-1.17,-0.16,-0.32,12.26
2179775,-1.18,-0.14,-0.40,12.49
2179797,-1.16,-0.30,-0.38,12.61
2179819,-1.05,-0.33,-0.46,11.96
2179841,-1.02,-0.32,-0.54,11.97
2179863,-1.02,-0.27,-0.60,12.14
2179885,-1.02,-0.20,-0.66,12.32
2179907,-1.02,-0.15,-0.69,12.42
2179929,-1.01,-0.10,-0.70,12.34
2179951,-1.07,-0.10,-0.75,13.06
2179973,-1.15,-0.12,-0.76,13.82
2179995,-1.17,-0.22,-0.72,13.91
2180017,-1.16,-0.25,-0.69,13.77
2180039,-1.15,-0.24,-0.68,13.58
2180061,-1.16,-0.15,-0.62,13.21
2180083,-1.15,-0.05,-0.61,13.00
2180105,-1.09,-0.12,-0.56,12.28
2180127,-1.09,-0.14,-0.48,12.01
2180149,-1.09,-0.06,-0.39,11.58
2180171,-1.02,-0.05,-0.32,10.72
2180193,-0.99,-0.07,-0.25,10.19
2180215,-0.89,-0.02,-0.23,9.19
2180237,-0.85,-0.11,-0.20,8.76
2180259,-0.86,-0.18,-0.11,8.86
2180281,-0.81,-0.10,-0.14,8.31
2180303,-0.84,-0.08,-0.12,8.53
2180325,-0.88,-0.12,-0.11,8.93
2180347,-0.88,-0.12,-0.14,8.97
2180369,-0.97,-0.19,-0.12,9.98
2180391,-0.99,-0.20,-0.01,10.10
2180413,-1.57,0.03,1.40,21.02
2180435,-1.46,0.07,0.36,15.03
2180457,-1.05,0.58,-0.11,12.03
2180479,-1.27,-0.14,-0.03,12.74
2180501,-1.02,-0.75,-0.13,12.74
2180523,-0.99,-0.35,-0.34,11.06
2180545,-1.22,0.01,-0.35,12.67
2180567,-1.11,-0.06,-0.22,11.29
2180589,-1.10,-0.24,-0.11,11.30
2180611,-1.14,-0.15,-0.12,11.56
2180633,-1.09,-0.12,-0.13,11.07
2180655,-1.07,-0.34,-0.19,11.37
2180677,-1.09,-0.29,-0.19,11.50
2180699,-1.12,-0.20,-0.21,11.52
2180721,-1.11,-0.16,-0.13,11.25
2180743,-1.10,-0.04,-0.13,11.13
2180765,-1.13,-0.10,-0.13,11.44
2180787,-1.05,-0.29,-0.11,10.92
2180809,-1.03,-0.27,-0.13,10.72
2180831,-1.07,-0.21,-0.11,10.94
2180853,-1.06,-0.17,-0.11,10.79
2180875,-1.06,-0.23,-0.17,11.02
2180897,-1.06,-0.29,-0.18,11.15
2180919,-1.07,-0.25,-0.19,11.13
2180941,-1.02,-0.31,-0.11,10.71
2180963,-0.99,-0.32,-0.11,10.43
2180985,-0.98,-0.29,-0.13,10.34
2181007,-1.00,-0.19,-0.18,10.38
2181029,-1.10,-0.18,-0.21,11.37
2181051,-1.12,-0.17,-0.21,11.50
2181073,-1.08,-0.20,-0.19,11.18
2181095,-1.10,-0.17,-0.23,11.35
2181117,-1.08,-0.20,-0.25,11.30
2181139,-1.03,-0.25,-0.22,10.83
2181161,-1.05,-0.32,-0.25,11.25
2181183,-1.16,-0.23,-0.36,12.36
2181205,-1.14,-0.14,-0.37,12.06
2181227,-1.11,-0.21,-0.38,11.92
2181249,-1.15,-0.21,-0.42,12.39
2181271,-1.13,-0.18,-0.38,12.02
2181293,-1.10,-0.22,-0.33,11.73
2181315,-1.29,-0.29,-0.31,13.60
2181337,-1.25,-0.05,-0.32,12.89
2181359,-1.28,-0.11,-0.30,13.22
2181381,-1.33,-0.21,-0.30,13.79
