y,timestamps
8.60,219486
9.40,219508
9.95,219530
10.18,219552
10.32,219574
10.44,219596
10.18,219618
10.97,219640
11.54,219662
10.75,219684
9.92,219706
7.98,219728
7.97,219750
8.04,219772
7.53,219794
7.96,219816
8.45,219838
15.29,219860
22.10,219882
9.63,219904
11.35,219926
10.81,219948
10.92,219970
9.70,219992
10.53,220014
9.62,220036
10.97,220058
11.72,220080
11.13,220102
10.53,220124
10.91,220146
10.95,220168
10.82,220190
10.85,220212
10.44,220234
10.27,220256
10.49,220278
10.93,220300
10.63,220322
10.43,220344
10.52,220366
10.73,220388
10.39,220410
10.08,220432
10.34,220454
10.16,220476
10.58,220498
10.40,220520
10.51,220542
10.55,220564
10.69,220586
10.49,220608
10.43,220630
11.24,220652
13.22,220674
12.95,220696
14.71,220718
15.79,220740
15.03,220762
13.75,220784
13.89,220806
13.96,220828
11.85,220850
9.68,220872
8.54,220894
8.29,220916
7.28,220938
6.80,220960
7.75,220982
7.35,221004
7.12,221026
8.89,221048
9.90,221070
10.46,221092
10.05,221114
10.50,221136
11.88,221158
12.20,221180
11.55,221202
9.28,221224
7.55,221246
7.04,221268
6.80,221290
7.68,221312
8.77,221334
15.69,221356
20.44,221378
10.02,221400
12.82,221422
10.76,221444
11.36,221466
9.97,221488
9.93,221510
10.81,221532
10.56,221554
11.64,221576
10.82,221598
10.60,221620
10.78,221642
11.00,221664
10.73,221686
10.76,221708
10.59,221730
10.32,221752
10.45,221774
10.59,221796
10.30,221818
10.40,221840
10.55,221862
10.44,221884
10.30,221906
10.32,221928
10.15,221950
10.15,221972
9.96,221994
10.23,222016
10.30,222038
10.78,222060
10.93,222082
12.24,222104
13.48,222126
13.99,222148
14.67,222170
14.98,222191
15.58,222213
14.59,222235
14.27,222256
13.45,222278
10.17,222300
10.03,222322
8.21,222344
6.82,222366
6.27,222388
6.37,222410
6.79,222431
7.38,222453
8.65,222475
9.60,222496
10.25,222518
10.46,222540
10.35,222562
11.31,222584
12.23,222606
13.11,222628
12.80,222650
8.78,222672
8.69,222694
7.42,222716
8.72,222738
8.27,222760
8.15,222782
9.70,222804
9.28,222826
18.98,222848
14.15,222870
10.94,222892
15.80,222914
11.18,222936
11.73,222958
9.41,222980
9.91,223002
10.73,223024
11.00,223046
11.76,223068
11.29,223090
10.64,223112
10.72,223134
10.64,223156
10.97,223178
10.94,223200
10.33,223222
10.32,223244
10.75,223266
11.01,223288
10.54,223310
10.77,223332
10.66,223354
10.61,223376
10.72,223398
10.44,223420
10.39,223442
10.03,223464
10.35,223486
9.93,223508
10.25,223530
10.53,223552
10.53,223574
10.74,223596
10.63,223618
10.93,223640
12.07,223662
12.98,223684
13.84,223706
15.20,223728
15.92,223750
15.69,223772
12.37,223794
14.48,223816
13.77,223838
11.24,223860
9.04,223882
9.22,223904
8.55,223926
7.18,223948
7.26,223970
6.45,223992
6.36,224014
8.04,224036
8.38,224058
9.22,224080
9.24,224102
8.87,224124
10.37,224146
10.73,224168
9.70,224190
11.11,224212
10.19,224234
8.68,224256
8.76,224278
7.79,224300
7.91,224322
7.99,224344
8.86,224366
11.70,224388
23.22,224410
11.87,224432
8.49,224454
12.65,224476
10.76,224498
10.94,224520
9.75,224542
11.92,224564
12.54,224586
9.93,224608
11.46,224630
10.79,224652
11.08,224674
11.02,224696
10.55,224718
10.71,224740
10.52,224762
10.61,224784
10.30,224806
10.16,224828
10.26,224850
10.49,224872
10.55,224894
10.33,224916
10.26,224938
10.56,224960
10.49,224982
10.13,225004
10.22,225026
10.21,225048
10.21,225070
10.40,225092
10.63,225114
11.83,225136
13.94,225158
13.44,225180
14.05,225202
14.66,225224
16.34,225246
15.91,225268
12.67,225290
13.00,225312
12.78,225334
10.81,225356
9.38,225378
8.83,225400
7.15,225422
7.69,225444
7.88,225466
8.47,225488
7.68,225510
9.42,225532
10.34,225554
11.35,225576
9.63,225598
10.69,225620
12.05,225642
10.85,225664
10.18,225686
9.38,225708
9.28,225730
8.84,225752
7.53,225773
7.92,225795
8.06,225817
7.85,225838
11.40,225860
21.38,225882
13.09,225903
9.63,225925
12.63,225947
11.21,225969
10.70,225991
11.87,226013
10.25,226035
9.98,226057
11.46,226078
11.17,226100
10.61,226122
10.91,226143
10.35,226165
10.76,226187
10.99,226209
10.18,226231
10.26,226253
9.89,226275
10.49,226297
10.82,226318
10.52,226340
10.32,226362
10.44,226384
10.44,226406
10.36,226428
10.35,226450
10.31,226472
10.18,226494
10.09,226516
10.02,226538
10.73,226560
10.75,226582
10.66,226604
10.20,226626
11.09,226648
13.23,226670
14.52,226692
15.67,226714
16.70,226736
15.88,226758
14.77,226780
15.01,226802
12.22,226824
10.72,226846
9.22,226868
7.97,226890
7.43,226911
6.98,226933
7.41,226955
6.98,226976
7.31,226998
8.86,227020
10.07,227041
10.67,227063
11.00,227085
10.14,227107
10.64,227129
11.33,227151
11.27,227173
10.52,227195
7.99,227216
8.40,227238
8.48,227260
6.84,227281
7.03,227303
7.72,227325
9.92,227347
22.31,227369
14.25,227391
9.42,227413
11.92,227435
10.91,227457
11.59,227479
10.48,227501
9.00,227523
10.67,227545
11.23,227567
10.97,227589
10.63,227611
10.75,227633
10.70,227655
10.82,227677
11.03,227699
10.29,227721
10.14,227743
10.16,227765
10.88,227787
10.78,227809
10.40,227831
10.26,227853
10.45,227875
10.17,227897
10.16,227919
10.14,227941
10.11,227963
10.11,227985
10.10,228007
10.78,228029
10.61,228051
10.63,228073
10.36,228095
10.79,228117
12.50,228139
13.66,228161
14.31,228183
16.18,228205
16.54,228227
14.54,228249
14.56,228271
14.76,228293
11.96,228315
9.42,228337
8.68,228359
8.07,228381
6.82,228403
6.26,228425
7.31,228447
7.69,228469
8.29,228491
9.92,228513
11.39,228535
11.75,228557
12.25,228579
11.31,228601
13.11,228623
10.74,228645
8.05,228667
6.68,228689
7.26,228711
8.23,228733
7.67,228755
9.16,228777
18.10,228799
19.20,228821
9.64,228843
13.60,228865
11.02,228887
11.06,228909
10.31,228931
10.93,228953
9.36,228975
10.78,228997
11.76,229019
10.98,229041
10.84,229063
10.68,229085
10.59,229107
11.02,229129
10.84,229151
10.56,229173
10.36,229195
10.55,229217
10.79,229239
10.52,229261
10.39,229283
10.62,229305
10.40,229327
10.23,229349
10.39,229371
10.42,229393
10.15,229415
10.08,229437
9.79,229459
10.43,229481
10.33,229503
10.59,229525
10.77,229547
10.91,229569
13.13,229591
13.32,229613
14.14,229635
15.77,229657
17.69,229679
17.25,229701
12.96,229723
14.29,229745
12.47,229767
10.54,229789
8.59,229811
7.12,229833
6.73,229855
6.03,229877
6.65,229899
6.93,229921
7.49,229943
9.03,229965
10.28,229987
11.24,230009
11.07,230031
11.82,230053
12.16,230075
12.48,230097
10.03,230119
7.33,230141
7.27,230163
7.45,230185
8.76,230207
8.07,230229
8.41,230251
9.96,230273
21.94,230295
13.89,230317
10.53,230339
12.78,230361
10.20,230383
11.24,230405
10.21,230427
9.84,230449
9.89,230471
11.56,230493
11.63,230515
10.77,230537
10.91,230559
10.62,230581
10.62,230603
11.00,230625
10.70,230647
10.31,230669
10.40,230691
10.57,230713
10.63,230735
10.65,230757
10.34,230779
10.17,230801
10.48,230823
10.51,230845
10.28,230867
9.92,230889
10.65,230911
10.50,230933
10.01,230955
9.98,230977
10.22,230999
11.28,231021
13.56,231043
15.50,231065
15.90,231087
15.66,231109
16.50,231131
14.61,231153
13.57,231175
12.33,231197
11.98,231219
7.68,231241
7.23,231263
7.43,231285
7.49,231307
7.25,231329
7.12,231351
8.30,231373
9.22,231395
9.99,231417
9.88,231439
10.48,231461
11.79,231483
12.79,231505
12.40,231527
9.58,231549
7.75,231571
7.70,231593
7.27,231615
7.76,231637
8.11,231659
7.83,231681
13.56,231703
21.75,231725
7.60,231747
12.08,231769
10.50,231791
9.98,231813
10.88,231835
10.91,231857
9.90,231879
10.48,231901
11.20,231923
11.04,231945
10.86,231967
10.67,231989
10.65,232011
10.62,232033
10.62,232055
10.25,232077
10.17,232099
10.66,232121
10.55,232143
10.21,232165
10.50,232187
10.52,232209
10.46,232231
10.32,232253
10.24,232275
10.04,232297
10.25,232319
10.42,232341
10.28,232363
10.74,232385
12.23,232407
13.56,232429
12.96,232451
13.67,232473
14.94,232495
16.29,232517
17.63,232539
11.49,232561
13.35,232583
14.45,232605
10.63,232627
8.79,232649
8.64,232671
7.52,232693
6.77,232715
6.87,232737
7.28,232759
7.14,232781
8.40,232803
9.06,232825
10.12,232847
10.94,232869
11.18,232891
12.68,232913
13.87,232935
11.27,232957
6.97,232979
6.43,233001
6.92,233023
6.57,233045
8.15,233067
20.17,233089
17.44,233111
8.49,233133
12.29,233155
10.61,233177
11.13,233199
13.27,233221
9.87,233243
10.79,233265
11.75,233287
11.81,233309
10.96,233331
10.93,233353
10.38,233375
10.55,233397
11.20,233419
10.68,233441
10.03,233463
10.30,233485
10.46,233507
10.55,233529
10.30,233551
10.34,233573
10.42,233595
10.08,233617
10.33,233639
10.43,233661
10.03,233683
10.22,233705
10.26,233727
10.36,233749
10.66,233771
10.72,233793
10.47,233815
10.95,233837
13.04,233859
13.60,233881
14.27,233903
16.32,233925
17.89,233947
14.72,233969
15.20,233991
15.61,234013
10.63,234035
9.45,234057
8.71,234079
7.27,234101
6.83,234123
6.53,234145
7.88,234167
7.30,234189
6.64,234211
9.82,234233
10.92,234255
11.37,234277
11.14,234299
11.81,234321
12.26,234343
12.77,234365
8.31,234387
7.04,234409
8.12,234431
7.42,234453
7.43,234475
7.70,234497
9.40,234519
19.02,234541
17.23,234563
10.22,234585
13.73,234607
10.82,234629
10.32,234651
11.12,234673
10.40,234695
9.76,234717
11.20,234739
12.20,234761
10.77,234783
10.69,234805
10.67,234827
11.17,234849
10.82,234871
10.77,234893
10.54,234915
10.18,234937
10.49,234959
10.61,234981
10.66,235003
10.45,235025
10.32,235047
10.60,235069
10.23,235091
9.96,235113
9.94,235135
10.34,235157
10.07,235179
9.94,235201
10.18,235223
10.54,235245
10.56,235267
10.42,235289
10.20,235311
12.35,235333
13.42,235355
12.80,235377
14.54,235399
15.57,235421
16.29,235443
12.44,235465
13.56,235487
13.40,235509
10.85,235531
9.80,235553
8.78,235575
7.90,235597
7.09,235619
7.32,235641
7.63,235663
6.23,235685
8.97,235707
9.93,235729
11.06,235751
10.75,235773
10.44,235795
11.77,235817
12.80,235839
12.45,235861
9.33,235883
8.58,235905
7.56,235927
8.38,235949
7.19,235971
7.74,235993
8.68,236015
12.03,236037
21.74,236059
8.16,236081
13.28,236103
12.35,236125
11.17,236147
10.37,236169
9.35,236191
10.00,236213
10.00,236235
12.19,236257
11.68,236279
10.38,236301
10.82,236322
10.57,236344
11.05,236366
11.33,236388
10.58,236410
10.09,236432
10.19,236454
10.80,236476
11.21,236498
10.54,236520
10.40,236542
10.59,236564
10.54,236586
10.24,236608
10.23,236630
10.20,236652
10.17,236674
9.97,236696
9.64,236718
10.60,236740
10.35,236762
10.16,236784
10.51,236806
10.81,236828
12.23,236850
13.89,236872
14.80,236894
16.83,236916
17.96,236938
14.47,236960
15.38,236982
14.03,237004
11.01,237026
10.63,237048
7.49,237070
6.45,237092
6.04,237114
6.44,237136
6.27,237158
6.83,237180
8.20,237202
9.14,237224
10.65,237245
10.58,237267
10.19,237289
10.65,237311
12.92,237333
12.06,237355
8.92,237377
8.78,237399
8.69,237421
7.86,237443
7.66,237465
7.59,237487
10.44,237509
22.17,237531
9.64,237553
12.02,237575
11.74,237597
11.23,237619
13.22,237641
9.82,237663
10.16,237685
10.49,237707
11.75,237729
12.01,237751
10.55,237773
10.64,237795
10.71,237817
11.07,237839
11.10,237861
10.85,237883
10.95,237905
10.45,237927
10.79,237949
11.09,237971
10.64,237993
10.76,238015
10.53,238037
10.78,238059
11.12,238081
10.45,238103
10.45,238125
10.67,238147
10.37,238169
10.59,238191
10.28,238213
9.43,238235
9.75,238257
10.25,238279
11.09,238301
13.43,238323
14.88,238345
14.62,238367
13.42,238389
12.74,238411
