time,timestamps,ax,ay,az,mag
18:24:37.189,34580,-0.85,-0.61,-0.06,1.05
18:24:37.206,34594,-0.85,-0.61,-0.08,1.05
18:24:37.216,34608,-0.86,-0.62,-0.08,1.06
18:24:37.234,34622,-0.85,-0.62,-0.08,1.06
18:24:37.253,34636,-0.84,-0.64,-0.08,1.05
18:24:37.269,34650,-0.83,-0.64,-0.07,1.05
18:24:37.272,34664,-0.83,-0.65,-0.08,1.06
18:24:37.289,34678,-0.82,-0.65,-0.07,1.05
18:24:37.303,34692,-0.82,-0.65,-0.05,1.05
18:24:37.319,34706,-0.81,-0.66,-0.02,1.05
18:24:37.328,34720,-0.81,-0.65,-0.02,1.04
18:24:37.347,34734,-0.80,-0.68,-0.01,1.05
18:24:37.364,34748,-0.81,-0.68,-0.01,1.06
18:24:37.371,34762,-0.81,-0.67,-0.00,1.05
18:24:37.389,34776,-0.80,-0.68,-0.01,1.05
18:24:37.449,34790,-0.78,-0.68,-0.03,1.04
18:24:37.450,34804,-0.80,-0.69,-0.03,1.06
18:24:37.451,34818,-0.81,-0.68,-0.03,1.06
18:24:37.453,34832,-0.80,-0.68,-0.04,1.05
18:24:37.454,34846,-0.80,-0.69,-0.05,1.05
18:24:37.489,34860,-0.80,-0.68,-0.04,1.06
18:24:37.491,34874,-0.81,-0.67,-0.04,1.05
18:24:37.495,34888,-0.82,-0.67,-0.04,1.06
18:24:37.531,34902,-0.82,-0.64,-0.06,1.04
18:24:37.533,34916,-0.83,-0.63,-0.09,1.05
18:24:37.572,34930,-0.86,-0.64,-0.10,1.07
18:24:37.574,34944,-0.83,-0.65,-0.11,1.06
18:24:37.574,34958,-0.80,-0.65,-0.12,1.03
18:24:37.613,34972,-0.80,-0.63,-0.11,1.03
18:24:37.615,34986,-0.85,-0.60,-0.06,1.04
18:24:37.615,35000,-0.85,-0.59,-0.04,1.04
18:24:37.632,35014,-0.83,-0.64,-0.04,1.05
18:24:37.636,35028,-0.83,-0.69,0.04,1.08
18:24:37.652,35042,-0.76,-0.72,0.03,1.05
18:24:37.672,35056,-0.74,-0.72,0.06,1.04
18:24:37.682,35070,-0.76,-0.70,0.07,1.04
18:24:37.694,35084,-0.76,-0.69,0.05,1.03
18:24:37.711,35098,-0.78,-0.68,0.01,1.03
18:24:37.720,35112,-0.79,-0.69,-0.05,1.04
18:24:37.735,35126,-0.80,-0.70,-0.07,1.06
18:24:37.755,35140,-0.79,-0.70,-0.06,1.06
18:24:37.763,35154,-0.76,-0.71,-0.07,1.05
18:24:37.782,35168,-0.75,-0.74,-0.05,1.06
18:24:37.792,35182,-0.75,-0.72,-0.05,1.04
18:24:37.806,35196,-0.77,-0.72,-0.06,1.06
18:24:37.821,35210,-0.78,-0.72,-0.06,1.06
18:24:37.837,35224,-0.79,-0.71,-0.06,1.06
18:24:37.870,35238,-0.79,-0.69,-0.07,1.05
18:24:37.871,35252,-0.79,-0.69,-0.12,1.05
18:24:37.875,35266,-0.79,-0.73,-0.16,1.08
18:24:37.890,35280,-0.77,-0.74,-0.18,1.09
18:24:37.908,35294,-0.81,-0.66,-0.15,1.06
18:24:37.916,35308,-0.82,-0.68,-0.12,1.07
18:24:37.935,35322,-0.79,-0.71,-0.15,1.07
18:24:37.947,35336,-0.77,-0.75,-0.17,1.09
18:24:37.960,35350,-0.77,-0.75,-0.17,1.09
18:24:37.979,35364,-0.78,-0.72,-0.14,1.07
18:24:37.990,35378,-0.78,-0.70,-0.13,1.05
18:24:38.003,35392,-0.78,-0.70,-0.13,1.06
18:24:38.022,35406,-0.79,-0.69,-0.12,1.06
18:24:38.029,35420,-0.78,-0.69,-0.10,1.04
18:24:38.047,35434,-0.77,-0.69,-0.10,1.04
18:24:38.058,35448,-0.77,-0.70,-0.07,1.04
18:24:38.076,35462,-0.77,-0.68,-0.05,1.03
18:24:38.086,35476,-0.77,-0.69,-0.07,1.04
18:24:38.107,35490,-0.77,-0.67,-0.05,1.02
18:24:38.112,35504,-0.76,-0.70,-0.04,1.03
18:24:38.126,35518,-0.76,-0.68,-0.04,1.03
18:24:38.142,35532,-0.75,-0.70,-0.03,1.02
18:24:38.191,35546,-0.73,-0.72,-0.04,1.03
18:24:38.192,35560,-0.72,-0.75,-0.04,1.04
18:24:38.193,35574,-0.76,-0.70,-0.02,1.03
18:24:38.197,35588,-0.77,-0.68,-0.02,1.03
18:24:38.232,35602,-0.76,-0.71,-0.05,1.04
18:24:38.233,35616,-0.75,-0.78,-0.06,1.08
18:24:38.238,35630,-0.75,-0.79,-0.06,1.09
18:24:38.274,35644,-0.76,-0.75,-0.03,1.07
18:24:38.279,35658,-0.77,-0.75,-0.03,1.08
18:24:38.279,35672,-0.79,-0.74,-0.02,1.09
18:24:38.315,35686,-0.81,-0.75,-0.02,1.10
18:24:38.316,35700,-0.82,-0.72,0.03,1.09
18:24:38.368,35714,-0.85,-0.78,-0.01,1.15
18:24:38.368,35728,-0.86,-0.77,-0.08,1.15
18:24:38.371,35742,-0.87,-0.77,-0.06,1.16
18:24:38.371,35756,-0.90,-0.78,-0.17,1.20
18:24:38.382,35770,-0.87,-0.79,-0.37,1.23
18:24:38.392,35784,-0.98,-0.71,-0.17,1.23
18:24:38.413,35798,-1.00,-0.56,-0.11,1.15
18:24:38.422,35812,-0.95,-0.56,-0.00,1.11
18:24:38.461,35826,-0.97,-0.57,0.02,1.13
18:24:38.475,35840,-1.00,-0.63,-0.06,1.18
18:24:38.476,35854,-1.04,-0.63,-0.00,1.22
18:24:38.477,35868,-1.16,-0.59,-0.03,1.30
18:24:38.496,35882,-1.37,-0.40,-0.11,1.43
18:24:38.507,35896,-1.47,-0.35,-0.21,1.52
18:24:38.525,35910,-1.13,-0.56,-0.47,1.35
18:24:38.533,35924,-0.80,-0.86,-0.50,1.28
18:24:38.552,35938,-0.49,-1.10,-0.16,1.21
18:24:38.562,35952,-0.45,-1.26,0.18,1.35
18:24:38.578,35966,-0.43,-1.32,0.39,1.44
18:24:38.618,35980,-0.40,-1.33,0.36,1.43
18:24:38.620,35994,-0.40,-1.24,0.40,1.36
18:24:38.621,36008,-0.53,-1.05,0.44,1.25
18:24:38.650,36022,-0.50,-0.93,0.45,1.15
18:24:38.651,36036,-0.30,-0.99,0.34,1.09
18:24:38.665,36050,-0.20,-1.01,0.31,1.08
18:24:38.675,36064,-0.15,-0.93,0.34,1.00
18:24:38.693,36078,-0.13,-0.83,0.41,0.93
18:24:38.702,36092,-0.09,-0.85,0.39,0.94
18:24:38.722,36106,-0.04,-0.89,0.38,0.97
18:24:38.729,36120,-0.03,-0.84,0.38,0.92
18:24:38.745,36134,-0.04,-0.76,0.38,0.86
18:24:38.759,36148,-0.09,-0.71,0.42,0.83
18:24:38.780,36162,-0.16,-0.68,0.45,0.83
18:24:38.785,36176,-0.23,-0.65,0.44,0.82
18:24:38.799,36190,-0.28,-0.61,0.47,0.82
18:24:38.819,36204,-0.31,-0.59,0.47,0.82
18:24:38.827,36218,-0.34,-0.62,0.46,0.84
18:24:38.839,36232,-0.34,-0.73,0.41,0.90
18:24:38.856,36246,-0.31,-0.89,0.33,1.00
18:24:38.870,36260,-0.27,-0.97,0.31,1.05
18:24:38.886,36274,-0.26,-0.99,0.26,1.05
